Gender,Age,Occupation,ZIP-code,260,1097,2628,2174,2797,1073,2100,2968,2105,2193
F,25,19,280,0,1,0,3,2,3,5,4,3,1
M,35,19,582,2,3,0,2,3,2,3,4,1,3
M,25,0,966,4,1,1,2,0,1,4,2,0,0
M,25,12,440,0,1,5,5,4,0,5,5,5,1
M,18,10,540,2,2,3,5,0,0,4,0,0,0
M,56,11,847,0,5,0,0,0,2,4,3,3,2
F,45,20,63,5,1,5,1,5,0,0,4,4,0
F,45,5,427,2,1,4,1,4,2,0,5,4,2
F,56,18,377,4,2,5,2,5,1,3,0,4,5
M,50,6,921,3,0,1,1,5,5,3,3,4,0
F,25,0,10,5,0,4,1,5,3,0,0,2,5
M,45,1,800,3,2,1,4,0,1,3,4,3,3
M,1,12,410,2,1,0,5,3,3,3,0,1,0
M,25,10,775,5,0,3,2,2,4,5,5,5,0
M,35,13,352,4,5,4,5,3,3,3,4,3,5
M,50,9,840,1,0,0,4,4,0,0,4,1,1
M,56,17,42,4,5,0,3,4,5,0,4,1,4
M,1,10,550,1,4,5,0,0,4,5,2,0,1
F,18,3,912,4,5,2,1,4,4,2,3,4,0
F,35,19,307,4,5,3,1,2,5,2,5,4,4
M,45,15,803,3,2,5,0,2,2,3,2,3,5
M,50,10,544,1,3,0,4,1,2,4,2,5,4
F,50,19,863,5,1,2,0,0,2,2,5,4,0
F,25,16,493,0,5,0,2,3,0,3,2,3,0
F,35,17,489,4,3,3,3,3,0,2,2,1,0
F,18,4,128,5,4,2,1,0,5,0,3,4,0
F,50,13,23,3,0,5,5,1,5,1,4,0,0
F,35,3,234,3,2,5,2,1,0,3,5,3,0
F,45,10,319,2,1,4,5,4,5,5,3,4,0
F,35,10,580,1,0,4,3,0,0,2,4,2,4
F,35,16,967,3,1,2,5,5,3,5,4,4,4
M,25,14,127,0,0,2,4,1,2,0,0,0,2
F,25,8,982,1,1,5,1,2,1,2,2,0,5
F,18,10,571,1,3,3,0,4,2,0,0,2,4
F,56,9,523,0,2,5,1,4,0,0,3,3,4
M,56,3,991,0,3,4,3,3,5,3,0,1,5
F,56,14,207,2,1,2,0,3,2,1,2,3,5
M,25,13,540,5,3,2,5,2,5,0,4,3,4
F,18,0,48,2,2,1,0,0,0,0,1,3,0
F,35,19,322,3,3,5,1,4,0,0,0,2,4
F,50,11,144,4,5,3,5,0,4,0,4,0,4
F,18,0,334,5,4,4,5,5,0,0,0,4,2
F,25,19,557,2,1,0,3,2,0,0,3,3,3
F,1,6,857,0,0,5,3,0,5,0,0,1,1
M,25,2,891,5,3,4,1,4,0,5,0,1,0
M,25,3,83,4,4,3,5,2,3,0,2,4,5
F,45,4,946,5,4,0,0,0,0,5,0,4,0
F,45,2,775,0,2,2,5,4,5,3,1,0,5
F,45,13,967,2,5,3,5,2,0,5,3,4,4
F,45,16,231,1,4,0,4,0,5,2,4,5,5
M,35,20,483,2,0,3,5,0,4,4,1,4,5
F,50,13,905,5,4,4,2,2,2,5,3,3,1
M,25,1,852,5,1,5,1,5,3,3,4,5,0
F,35,2,483,1,1,0,3,5,2,1,4,2,0
F,35,11,484,0,0,0,4,2,5,0,3,5,0
F,25,11,325,0,5,5,4,3,0,0,3,3,5
M,45,20,957,4,3,4,2,0,2,4,0,1,5
M,25,13,240,2,5,5,4,0,0,1,0,3,4
F,45,19,265,0,4,4,3,4,0,5,0,3,5
M,35,3,379,1,3,0,2,0,2,2,5,3,5
M,25,17,727,1,2,4,0,0,2,5,1,3,4
M,18,14,460,2,3,3,4,1,1,5,5,1,2
M,56,2,347,4,3,3,2,0,0,3,3,1,4
M,18,20,581,1,0,4,5,2,3,2,4,4,5
M,50,13,410,2,3,3,0,2,0,5,2,2,3
M,1,15,77,2,1,0,4,1,3,3,5,0,0
F,25,9,178,1,3,3,5,4,5,3,4,4,0
M,50,16,460,1,4,4,5,3,0,4,2,4,3
F,35,20,12,5,2,0,0,0,0,0,5,3,0
M,18,16,118,1,1,5,1,4,5,3,4,1,5
F,50,12,13,0,1,0,2,4,0,4,3,3,0
F,18,18,539,4,2,2,2,0,4,0,0,5,0
M,25,4,722,1,4,4,1,5,1,3,0,4,2
M,25,4,982,0,5,2,0,5,4,0,4,0,3
M,45,1,81,0,1,4,1,0,2,3,0,2,1
M,45,2,730,1,2,4,0,4,2,3,2,3,5
M,1,0,469,0,3,2,2,0,1,3,4,0,0
F,56,2,50,0,3,3,2,2,0,3,4,1,3
F,25,16,777,5,1,0,3,1,3,3,4,3,0
F,25,3,796,0,3,4,4,0,5,3,4,1,1
M,25,1,880,5,2,2,4,0,0,3,5,5,0
F,1,12,88,1,3,4,3,3,3,3,1,5,1
M,45,2,82,5,5,5,2,0,0,0,5,3,3
M,45,10,339,1,2,3,1,3,1,3,3,0,4
F,45,10,358,1,3,3,2,3,2,4,2,3,4
M,56,13,997,3,0,4,1,0,4,3,0,0,0
F,45,1,220,4,3,2,1,0,0,2,5,4,3
M,35,14,38,2,4,0,4,2,2,0,4,0,5
F,18,16,452,1,2,4,0,1,1,3,5,1,4
M,56,16,296,0,0,0,0,4,2,1,2,2,0
F,56,14,211,2,0,5,0,4,5,0,4,3,5
M,1,7,951,5,3,0,0,4,0,5,4,4,2
F,56,2,222,1,0,4,4,3,3,3,5,0,0
M,1,7,945,3,5,0,0,4,0,5,5,4,0
M,18,13,226,2,2,0,2,2,5,1,2,4,1
M,25,14,170,0,4,4,4,0,0,5,0,4,0
M,35,3,196,1,2,0,3,2,3,5,1,1,0
M,35,10,452,5,5,0,4,3,5,4,0,2,1
F,50,17,296,4,0,5,5,5,2,3,1,0,5
M,45,16,345,2,1,4,2,0,4,2,4,3,1
F,1,13,83,1,5,0,0,0,5,3,5,4,3
M,45,13,54,4,5,1,2,4,0,0,5,4,5
M,56,10,157,1,5,5,0,0,1,0,0,4,5
F,18,15,902,5,3,4,0,4,5,0,3,2,3
M,18,4,352,2,2,0,3,5,2,4,5,0,3
F,18,2,524,1,1,0,5,0,1,0,0,1,3
M,25,19,811,2,1,0,1,1,3,1,3,1,0
F,25,13,111,1,4,4,1,2,0,0,0,2,4
M,50,2,522,1,3,0,1,4,0,5,4,5,4
M,50,3,629,4,1,0,5,0,2,3,2,2,1
M,18,5,597,0,3,5,4,5,5,2,5,3,0
F,18,0,840,3,1,4,2,1,5,4,1,0,1
M,50,0,984,0,1,3,1,1,1,5,0,3,4
