Gender,Age,Occupation,ZIP-code,673,810,1073,1126,1702,2100,2174,2253,2797,3393,3466
F,50,5,600,2,0,5,0,1,2,0,4,2,5,3
F,25,12,81,0,0,3,0,0,2,5,2,5,5,0
F,50,5,600,2,0,5,0,1,2,0,4,2,5,3
F,25,12,81,0,0,3,0,0,2,5,2,5,5,0
F,25,12,81,0,0,3,0,0,2,5,2,5,5,0
M,35,11,983,1,1,0,0,0,2,0,1,0,0,0
F,25,20,537,0,0,3,2,1,4,0,2,3,2,4
F,25,12,81,0,0,3,0,0,2,5,2,5,5,0
M,35,11,983,1,1,0,0,0,2,0,1,0,0,0
F,1,12,950,0,0,2,0,5,2,2,3,4,3,3
F,18,20,285,0,0,5,4,0,0,4,0,4,5,0
M,45,20,801,0,0,4,0,5,3,1,0,3,4,0
F,45,19,780,1,2,5,1,4,3,2,4,1,3,5
F,25,12,81,0,0,3,0,0,2,5,2,5,5,0
F,25,20,537,0,0,3,2,1,4,0,2,3,2,4
F,45,19,780,1,2,5,1,4,3,2,4,1,3,5
F,25,12,81,0,0,3,0,0,2,5,2,5,5,0
M,25,6,48,5,3,1,0,3,0,0,0,5,5,1
M,35,9,941,1,2,0,5,0,1,4,0,0,5,0
M,56,17,740,4,1,0,5,1,0,0,4,4,1,3
F,1,12,950,0,0,2,0,5,2,2,3,4,3,3
M,25,6,48,5,3,1,0,3,0,0,0,5,5,1
F,1,12,950,0,0,2,0,5,2,2,3,4,3,3
F,25,12,81,0,0,3,0,0,2,5,2,5,5,0
F,18,20,285,0,0,5,4,0,0,4,0,4,5,0
F,25,20,537,0,0,3,2,1,4,0,2,3,2,4
M,45,20,801,0,0,4,0,5,3,1,0,3,4,0
M,56,16,466,0,0,0,0,0,0,4,5,1,5,3
M,56,16,296,0,2,0,1,0,3,2,2,0,3,1
F,50,5,600,2,0,5,0,1,2,0,4,2,5,3
F,25,16,230,1,2,4,2,4,4,2,3,1,3,1
F,1,10,803,1,0,5,0,0,1,5,0,5,3,0
F,35,14,10,5,2,5,1,0,4,1,1,0,2,0
F,18,1,115,5,2,4,0,0,4,3,1,4,2,0
M,35,9,941,1,2,0,5,0,1,4,0,0,5,0
M,35,9,28,0,4,1,2,0,2,5,4,0,1,4
F,25,15,152,5,4,5,0,1,5,1,0,5,0,1
M,56,17,740,4,1,0,5,1,0,0,4,4,1,3
M,56,16,296,0,2,0,1,0,3,2,2,0,3,1
F,35,2,662,1,3,5,1,1,4,3,0,4,5,3
F,25,12,81,0,0,3,0,0,2,5,2,5,5,0
