Gender,Age,Occupation,ZIP-code,247,885,1097,1654,2086,2138,2872
F,50,4,939,3,0,5,0,0,2,1
M,35,9,778,5,5,3,2,5,3,3
M,35,0,966,1,0,4,4,5,5,3
M,18,19,559,2,0,2,4,4,2,3
M,1,16,720,1,1,5,1,3,3,2
F,18,17,274,0,0,0,1,5,0,2
M,25,1,744,5,0,1,2,4,5,0
M,18,8,362,0,1,2,0,5,3,4
M,25,11,274,0,0,5,4,0,0,0
M,56,11,458,1,1,3,3,0,4,0
F,45,2,727,0,5,5,0,3,5,4
M,25,14,726,1,0,0,0,5,1,1
M,25,4,558,0,0,4,0,5,0,2
M,45,2,782,4,2,1,5,4,2,0
M,35,11,458,0,1,5,1,3,5,5
M,50,11,820,5,3,4,0,5,0,0
M,18,4,314,0,0,4,0,5,0,4
F,18,5,605,0,4,2,4,0,5,0
M,56,1,30,0,5,1,3,3,5,4
F,56,6,149,0,2,0,5,0,5,0
F,45,5,863,0,1,3,0,0,0,5
M,45,20,212,3,4,4,1,4,5,1
M,25,9,590,3,1,0,4,3,5,5
M,1,0,28,3,0,4,3,4,4,0
F,45,6,741,2,0,5,0,4,2,5
F,50,17,290,2,5,4,0,0,5,0
M,25,8,223,2,4,4,2,2,0,5
M,25,19,123,2,0,0,4,5,5,2
M,56,12,146,3,3,4,4,5,2,0
F,50,18,666,4,5,4,4,2,4,0
F,25,19,494,2,2,2,4,5,5,0
M,35,7,925,0,0,2,0,0,5,1
F,45,6,482,4,4,1,3,2,0,2
F,35,0,601,3,4,4,1,2,3,5
M,56,16,975,1,0,4,2,5,1,3
M,50,8,857,5,1,4,0,5,3,4
F,45,14,240,5,3,0,0,4,1,1
M,45,14,215,0,0,5,3,0,2,1
M,35,0,232,2,4,4,0,4,4,0
F,50,7,462,1,0,1,0,5,5,4
F,1,7,940,1,0,1,0,0,0,3
M,25,0,142,1,4,0,0,0,2,1
F,25,1,282,1,0,5,0,5,0,1
F,25,20,200,0,2,2,1,2,3,4
M,25,10,554,3,4,3,0,5,2,0
M,25,14,62,0,0,0,0,5,1,4
F,35,17,940,0,0,1,0,4,5,5
M,25,0,297,5,0,4,2,0,0,4
M,25,18,245,1,0,4,4,5,0,0
F,45,1,201,2,2,4,0,5,0,0
M,45,12,301,3,0,3,4,5,2,2
M,25,14,744,5,4,2,0,0,4,0
M,35,11,489,0,1,1,0,5,5,0
M,45,2,741,0,0,0,4,5,2,0
F,35,15,89,3,0,1,3,0,1,2
F,18,17,630,2,1,5,0,4,4,1
F,25,2,69,0,5,4,1,2,0,2
M,35,2,358,5,2,5,0,4,0,3
M,45,16,128,5,3,4,1,5,4,4
M,18,7,577,0,1,0,0,0,4,1
M,35,18,31,5,2,4,0,0,0,4
M,25,14,780,0,1,1,0,5,3,0
F,1,12,320,0,4,2,3,5,2,2
M,45,9,928,2,5,2,0,0,3,0
M,35,7,74,0,1,3,1,0,2,0
M,25,13,604,0,2,5,0,3,1,5
M,45,14,441,0,1,3,3,2,1,0
M,50,11,282,0,0,1,0,5,1,0
M,18,17,830,0,1,5,4,0,1,0
F,18,20,841,2,1,1,0,2,2,0
M,25,10,17,0,1,2,1,0,3,5
M,1,9,945,4,2,2,0,5,0,1
M,35,9,292,0,0,2,4,0,0,0
F,25,20,751,0,0,0,1,2,0,0
F,18,4,830,0,4,0,0,2,1,3
F,25,12,939,1,1,5,0,5,0,0
M,25,1,726,0,0,3,5,5,1,0
