Gender,Age,Occupation,ZIP-code,260,1097,1750,2021,2093,2105,2628,2968
F,25,7,221,0,3,1,0,0,0,3,4
M,35,17,793,2,3,0,0,0,4,0,5
F,50,14,549,3,0,2,0,0,4,4,2
F,50,2,22,5,0,0,0,5,0,4,0
F,18,7,758,3,3,3,0,3,5,5,0
F,50,16,488,4,0,0,0,4,3,4,0
M,50,12,30,4,4,3,4,5,0,4,3
M,45,16,103,0,2,0,0,3,0,4,0
M,18,7,925,0,5,0,3,0,5,0,1
M,25,5,450,1,3,1,4,1,5,0,1
F,56,18,272,3,4,0,1,0,4,2,3
M,25,14,354,3,0,1,0,1,1,4,0
M,18,3,301,3,5,4,4,1,3,5,0
M,56,7,424,5,4,0,4,2,5,4,3
M,18,7,104,5,2,0,1,0,4,4,0
F,1,16,450,1,4,0,2,4,5,4,2
M,50,5,56,2,1,3,3,3,3,4,4
M,1,19,286,5,1,1,0,1,4,3,1
F,45,9,652,3,2,0,0,3,2,2,1
M,56,5,853,2,4,2,4,1,0,3,1
M,35,1,980,5,0,5,4,3,4,0,2
F,35,13,302,3,1,3,1,0,3,0,5
M,1,5,78,5,2,1,2,0,5,4,1
M,25,15,180,4,1,1,0,2,3,0,3
M,45,8,915,1,1,3,1,2,1,2,2
F,35,16,758,0,3,1,4,1,1,4,4
M,18,1,949,2,3,0,4,2,1,3,3
F,18,19,598,3,0,0,4,0,0,1,0
M,18,4,915,1,0,0,4,0,4,3,3
M,18,5,662,5,3,0,5,0,1,1,5
M,35,13,915,3,1,3,0,1,5,4,0
F,18,19,76,5,3,1,5,3,3,5,3
M,50,13,320,5,5,3,0,0,3,0,3
F,35,4,811,2,0,0,5,0,3,4,1
M,45,19,914,1,1,4,3,0,3,3,2
M,50,3,532,1,2,0,2,5,2,4,0
F,50,0,535,3,5,4,0,3,0,5,5
M,50,5,226,5,1,4,0,3,3,0,0
M,25,11,988,4,4,3,0,5,3,4,0
F,18,4,161,5,0,1,3,2,5,0,3
F,18,19,804,2,3,1,5,3,0,5,3
M,25,8,708,1,3,2,1,0,4,4,1
F,45,20,804,1,3,4,0,0,4,3,4
M,50,20,69,2,3,0,0,5,0,3,1
M,56,6,790,5,5,0,3,1,5,2,1
F,35,0,820,2,5,4,0,2,5,2,0
M,1,7,786,3,0,0,5,0,0,4,4
M,1,19,740,5,4,0,4,0,3,2,3
M,25,6,208,0,4,4,5,5,0,3,4
M,18,17,811,5,3,0,4,1,0,2,3
F,25,7,26,5,0,0,0,2,0,5,4
F,56,17,782,3,4,2,2,0,5,4,3
M,1,10,680,4,3,3,2,4,5,5,3
F,56,16,975,5,5,5,5,1,5,1,4
M,35,12,325,2,5,0,0,1,0,0,4
F,56,6,959,2,5,4,5,1,0,4,4
M,56,14,221,5,4,5,4,1,0,3,1
M,25,13,33,3,1,2,0,1,5,3,4
M,18,6,641,4,0,1,4,4,4,4,0
F,56,17,923,2,2,0,4,1,4,2,1
F,18,9,820,4,0,0,5,1,1,0,3
M,18,20,980,5,4,3,0,1,1,2,2
M,1,2,466,3,0,3,2,1,3,0,0
M,1,12,826,4,5,3,2,2,5,5,1
F,45,16,223,2,3,0,1,1,4,3,2
M,18,17,236,0,0,0,4,0,0,2,3
M,1,13,272,0,5,1,3,1,1,3,3
M,45,20,347,1,3,2,0,4,1,4,4
F,25,1,115,5,0,0,0,3,4,5,0
F,1,7,210,1,3,0,3,0,1,3,5
M,45,15,207,3,3,3,0,2,3,3,0
M,35,13,919,2,3,2,5,1,4,3,3
M,45,1,157,0,0,0,0,0,0,4,5
M,1,12,377,4,5,0,4,0,3,4,2
M,35,15,735,1,0,3,3,2,0,1,3
F,50,6,815,1,2,4,0,0,4,4,1
F,25,6,801,1,5,3,1,0,0,3,3
F,45,2,56,5,4,1,5,0,1,4,4
M,18,4,841,5,0,0,4,4,1,4,0
M,50,19,13,3,0,5,3,4,0,2,0
M,1,4,360,4,5,0,2,0,4,3,4
F,35,0,980,2,0,4,0,0,4,0,5
M,45,17,166,1,5,2,1,1,5,3,0
M,25,0,926,3,4,0,1,1,0,4,0
F,1,15,946,3,0,0,0,1,3,2,3
F,1,10,33,2,5,2,4,0,1,2,3
F,1,11,440,5,3,5,2,1,1,2,0
M,45,17,863,3,0,3,3,2,1,4,4
M,18,0,121,5,3,3,0,1,4,3,1
M,45,9,191,1,3,1,1,0,3,0,1
F,25,1,240,0,4,0,3,3,0,3,5
M,25,10,12,1,0,3,0,3,5,5,2
