"Gender","Age","Occupation","ZIP-code","673","810","1073","1126","1702","2100","2174","2253","2797","3393","3466"
"F",1,14,973,2,4,1,3,5,0,4,3,5,4,2
"M",25,12,372,0,0,5,0,0,4,4,0,1,0,0
"M",18,20,597,5,0,2,1,4,3,1,5,1,2,2
"M",56,2,501,5,2,1,2,5,4,0,4,0,2,0
"M",25,3,553,1,0,0,0,5,5,0,1,3,1,3
"M",18,20,550,1,2,5,5,0,5,3,0,0,5,2
"F",25,3,319,0,4,5,0,2,3,3,0,3,3,3
"M",25,18,452,5,0,1,1,1,0,3,1,5,4,4
"M",25,5,338,1,3,2,0,0,4,0,0,3,0,0
"F",25,13,793,0,1,1,0,1,2,0,0,3,0,1
"F",18,19,731,0,2,0,0,5,1,5,1,2,2,3
"M",18,8,752,1,0,1,1,0,5,5,0,1,0,4
"M",45,17,336,0,0,3,3,3,1,0,2,4,1,0
"M",25,9,741,5,1,4,0,0,0,0,3,0,0,0
"M",25,3,942,0,0,4,2,4,2,1,4,2,2,0
"M",1,19,347,0,0,3,0,5,4,0,1,0,0,0
"M",45,19,826,3,4,1,1,1,1,5,2,4,5,5
"M",1,15,601,1,0,3,0,0,2,0,1,2,1,4
"M",45,15,544,0,1,0,0,0,0,3,2,5,0,2
"F",18,0,468,4,0,3,1,1,0,2,0,2,4,5
"M",1,4,551,3,0,5,0,0,0,1,0,0,0,0
"M",18,11,480,0,2,5,0,4,4,5,1,0,0,2
"M",1,16,127,0,0,0,0,0,0,2,5,0,0,0
"M",18,9,843,2,0,5,0,4,2,2,3,5,0,0
"M",35,7,596,1,3,3,2,0,0,5,0,2,4,0
"M",1,5,312,2,2,4,4,2,0,2,0,1,3,0
"M",1,17,198,0,4,4,3,1,5,0,0,0,1,1
"F",35,2,209,1,0,0,1,0,3,3,1,2,0,0
"M",25,17,582,0,4,2,1,0,0,3,5,4,0,3
"F",56,14,633,4,2,0,4,4,3,4,2,3,3,0
"M",1,15,197,5,0,3,0,0,0,1,2,4,0,0
"M",18,18,705,4,0,3,1,5,2,0,1,1,2,2
"M",1,14,435,3,0,0,1,2,3,2,1,2,5,5
"M",18,20,221,2,4,5,0,1,5,1,2,5,1,2
"F",35,5,301,1,0,0,2,1,3,4,1,1,3,2
"M",25,18,793,1,1,3,0,0,4,1,2,0,1,0
"F",25,9,120,0,0,2,0,3,3,2,2,2,1,0
"F",45,6,453,5,0,4,0,5,2,1,0,4,4,4
"M",56,14,275,1,0,0,5,5,3,3,1,5,1,2
"F",50,1,337,5,0,5,3,5,3,4,1,4,2,0
"M",35,2,333,0,0,4,2,3,0,1,2,1,1,4
"M",18,14,681,0,0,1,4,3,0,5,2,3,1,5
