"Gender","Age","Occupation","ZIP-code","247","885","1097","1654","2086","2138","2872"
"F",1,14,973,0,0,5,5,2,5,0
"M",25,12,372,0,0,3,0,0,1,0
"M",18,20,597,0,0,2,0,0,5,5
"M",56,2,501,1,2,5,4,4,0,0
"M",25,3,553,0,0,4,0,0,0,0
"M",18,20,550,4,0,0,0,0,4,0
"F",25,3,319,3,5,3,0,5,4,4
"M",25,18,452,1,4,1,0,0,0,0
"M",25,5,338,3,3,0,0,4,0,0
"F",25,13,793,2,4,2,4,3,0,1
"F",18,19,731,0,0,0,0,2,4,0
"M",18,8,752,0,0,0,1,4,2,0
"M",45,17,336,5,2,0,0,2,0,1
"M",25,9,741,0,1,3,0,2,0,5
"M",25,3,942,0,1,1,5,0,5,1
"M",1,19,347,5,0,3,0,3,2,2
"M",45,19,826,3,2,5,3,2,5,3
"M",1,15,601,0,2,1,3,4,0,4
"M",45,15,544,5,0,1,0,4,5,1
"F",18,0,468,0,5,3,4,0,0,0
"M",1,4,551,1,5,0,2,0,5,3
"M",18,11,480,0,1,2,0,2,0,5
"M",1,16,127,2,0,2,0,0,5,0
"M",18,9,843,0,4,2,2,0,4,0
"M",35,7,596,4,5,0,2,3,4,0
"M",1,5,312,3,5,2,0,0,0,2
"M",1,17,198,3,2,5,0,3,0,5
"F",35,2,209,2,0,5,5,5,0,0
"M",25,17,582,3,1,0,0,4,5,2
"F",56,14,633,2,1,5,5,5,1,5
"M",1,15,197,0,5,5,0,3,0,5
"M",18,18,705,3,0,3,3,5,0,3
"M",1,14,435,0,1,5,0,4,5,0
"M",18,20,221,0,0,0,0,0,4,4
"F",35,5,301,0,3,3,3,0,3,1
"M",25,18,793,1,1,5,0,0,0,0
"F",25,9,120,5,0,2,3,5,0,1
"F",45,6,453,5,0,1,1,2,5,1
"M",56,14,275,1,0,4,1,2,3,4
"F",50,1,337,1,0,2,5,5,4,0
"M",35,2,333,0,0,5,2,3,0,0
"M",18,14,681,4,3,2,3,5,0,1
"M",25,4,633,0,0,5,0,0,0,0
"F",35,20,358,0,0,4,0,0,0,0
