"Gender","Age","Occupation","ZIP-code","247","2100","2143","2872","3479"
"F",1,14,973,0,4,0,5,0
"M",25,12,372,0,1,5,4,5
"M",18,20,597,0,0,0,0,0
"M",56,2,501,2,0,5,1,3
"M",25,3,553,2,3,3,0,4
"M",18,20,550,2,0,5,1,2
"F",25,3,319,0,4,3,1,3
"M",25,18,452,1,3,4,1,3
"M",25,5,338,0,0,0,3,1
"F",25,13,793,1,1,0,0,0
"F",18,19,731,1,0,0,4,0
"M",18,8,752,4,0,3,0,4
"M",45,17,336,2,0,5,2,4
"M",25,9,741,3,4,0,2,4
"M",25,3,942,0,3,5,0,3
"M",1,19,347,4,0,5,1,1
"M",45,19,826,1,4,3,4,3
"M",1,15,601,0,0,0,3,1
"M",45,15,544,0,0,2,1,3
"F",18,0,468,0,3,0,0,0
"M",1,4,551,4,0,5,2,3
"M",18,11,480,3,0,2,4,5
"M",1,16,127,3,5,1,2,0
"M",18,9,843,0,4,4,0,4
"M",35,7,596,4,0,5,2,3
"M",1,5,312,0,3,2,0,0
"M",1,17,198,3,2,0,0,3
"F",35,2,209,5,0,2,5,2
"M",25,17,582,5,0,0,0,0
"F",56,14,633,2,4,3,0,3
"M",1,15,197,4,5,5,5,0
"M",18,18,705,3,4,0,5,1
"M",1,14,435,3,3,2,3,3
"M",18,20,221,4,0,1,1,3
"F",35,5,301,4,4,2,3,1
"M",25,18,793,2,1,1,3,3
"F",25,9,120,0,4,1,5,2
"F",45,6,453,5,4,0,0,4
"M",56,14,275,0,0,3,1,0
"F",50,1,337,4,0,0,0,0
"M",35,2,333,3,3,0,3,3
"M",18,14,681,3,4,5,4,1
"M",25,4,633,1,2,1,0,0
"F",35,20,358,5,0,2,3,0
"M",18,10,871,3,2,2,3,0
"F",50,7,916,3,3,4,3,3
"M",35,4,911,4,0,0,0,4
"M",18,2,196,4,0,5,1,3
"F",56,3,175,0,0,4,2,3
"M",1,4,450,1,4,5,4,5
"M",18,4,551,3,0,3,2,3
"M",50,16,708,0,0,4,0,3
"F",45,2,902,4,4,0,0,0
"M",1,5,13,0,2,2,0,3
"M",50,3,770,2,4,0,0,0
"F",18,10,949,1,4,0,0,5
"M",25,1,360,4,0,2,4,3
"M",1,18,602,3,4,2,4,0
"F",25,14,433,0,5,3,1,0
"M",35,18,465,3,0,0,4,5
"F",25,18,15,4,0,4,3,1
"M",25,12,333,4,2,4,0,2
"M",18,17,171,0,3,3,4,4
"F",35,8,465,0,0,0,0,0
"M",1,3,228,2,2,2,4,0
"F",50,0,286,0,3,3,4,3
"M",18,20,40,5,0,4,1,1
"M",56,14,571,4,3,0,5,0
"M",56,15,337,0,1,1,2,0
"F",56,0,627,3,3,4,0,5
"M",1,9,358,4,1,5,1,4
"M",35,12,440,1,0,3,5,0
"M",45,9,685,0,3,2,4,0
"M",25,0,840,0,5,0,2,3
"M",25,20,447,5,3,0,0,1
"M",25,10,958,4,0,4,3,0
"F",1,15,486,0,3,4,0,3
"M",45,14,284,4,3,4,0,5
"F",18,2,453,1,0,3,5,0
"F",45,4,582,0,4,4,0,0
"M",50,1,441,3,4,4,0,3
"M",45,5,175,1,4,5,1,3
"F",25,9,609,3,0,4,0,2
"M",25,5,262,1,3,0,0,0
"F",18,7,50,0,4,0,0,0
"M",45,6,53,0,5,0,2,1
"F",35,5,956,0,3,0,0,1
"F",1,20,220,4,0,0,3,0
"M",25,5,915,1,5,0,3,3
"M",18,10,612,1,0,0,0,3
"M",18,16,560,0,3,4,0,2
"M",35,19,489,0,3,0,5,0
"F",35,2,945,5,3,4,0,0
"F",45,15,956,4,0,2,0,4
"M",25,0,959,2,0,0,0,0
"M",56,8,148,3,2,2,2,3
"M",18,20,56,0,0,3,3,5
"M",25,20,944,5,5,5,3,0
"M",1,12,88,1,0,0,0,3
"F",35,11,337,0,0,0,0,0
"M",50,18,453,0,5,4,0,3
"F",50,11,333,1,3,5,0,2
"F",1,4,559,0,0,4,4,0
"M",56,8,452,1,0,0,0,0
"M",35,15,150,3,0,1,2,4
"M",25,20,840,4,1,1,1,5
"M",1,2,951,4,0,1,1,3
"F",50,11,208,0,0,0,0,2
"M",1,4,115,4,2,2,3,3
"F",35,10,98,1,0,4,5,0
"F",25,2,222,0,0,0,0,3
"M",18,5,793,5,0,0,2,5
"F",18,2,170,0,0,2,2,0
"M",45,18,115,0,2,1,2,0
"F",25,19,605,0,0,0,4,0
"M",35,1,942,2,0,5,0,1
"M",18,2,631,0,0,0,2,3
"M",18,19,458,3,3,0,0,3
"F",18,11,240,3,0,3,3,3
"M",35,0,558,2,0,1,0,5
"M",50,3,786,0,0,3,4,3
"M",18,19,284,0,4,0,2,1
"M",45,0,378,0,0,1,2,0
"M",25,0,261,0,4,0,4,4
"M",25,6,803,5,3,2,2,0
"M",18,3,945,0,4,0,4,2
"M",35,18,82,3,4,0,0,4
"M",56,2,245,0,4,3,5,5
"M",18,2,942,0,2,4,0,2
"M",35,7,997,0,3,0,0,1
"M",25,11,991,2,0,5,3,2
"M",50,17,967,0,0,2,5,3
"M",25,1,306,1,0,5,4,3
"F",18,15,557,0,0,0,3,0
"M",56,1,309,5,2,3,1,5
"M",50,17,701,0,3,0,0,0
"M",25,6,953,1,4,0,0,3
"F",50,5,914,0,4,0,3,0
"M",35,11,495,3,3,0,0,0
"F",45,13,175,1,0,2,0,0
"F",25,2,382,3,3,0,5,1
"M",56,17,557,0,3,1,2,0
"F",45,0,435,0,0,1,4,1
"M",45,18,432,2,0,0,0,0
"F",25,20,847,2,0,0,4,0
"M",56,12,224,3,1,2,5,0
"F",25,2,751,0,0,0,1,1
"M",25,18,108,3,0,4,1,3
"M",25,16,927,0,3,0,0,0
"M",50,0,800,0,0,0,0,3
