"Gender","Age","Occupation","ZIP-code","260","1097","1750","2021","2093","2105","2628","2968"
"F",25,4,268,0,0,0,1,5,3,3,2
"F",25,4,268,5,1,3,3,3,2,4,3
"F",25,4,268,1,1,1,3,0,5,3,5
"F",25,4,268,1,1,2,3,0,2,2,3
"F",25,4,268,0,4,3,1,5,4,4,0
"F",25,4,268,4,3,5,0,0,3,4,3
"F",25,4,268,2,1,5,1,3,3,5,4
"F",25,4,268,4,2,5,1,5,3,4,2
"F",25,4,268,3,4,0,1,5,2,0,1
"F",25,4,268,1,5,0,2,5,2,0,0
"F",25,4,268,3,5,0,2,1,3,1,2
"M",18,5,751,3,2,2,0,3,4,4,3
"M",18,5,751,4,5,1,1,1,3,3,3
"M",18,5,751,1,1,0,2,0,0,0,5
"M",18,5,751,0,5,0,4,4,5,4,4
"M",18,5,751,4,1,1,4,0,2,4,4
"M",18,5,751,2,2,1,5,3,2,2,3
"M",18,5,751,4,1,0,4,5,3,3,5
"M",18,5,751,2,0,1,4,5,0,3,0
"M",18,5,751,4,3,1,4,2,0,3,1
"M",18,5,751,2,0,0,1,5,5,3,5
"M",18,5,751,5,1,3,5,2,4,5,4
"M",18,5,751,5,1,2,2,5,0,5,0
"M",18,5,751,5,4,1,5,4,4,0,5
"F",25,5,930,5,3,0,4,0,4,0,0
"F",25,5,930,1,1,0,4,5,2,4,1
"F",25,5,930,5,3,1,0,0,5,4,3
"F",25,5,930,2,2,3,5,0,3,4,1
"F",25,5,930,2,4,0,4,3,5,5,3
"F",25,5,930,2,3,1,0,0,0,0,4
"F",25,5,930,3,3,0,1,2,3,3,1
"F",25,5,930,4,5,0,0,0,2,4,0
"F",25,5,930,2,5,3,2,0,3,2,0
"F",25,5,930,4,5,5,5,3,2,1,3
"F",25,5,930,4,5,5,0,0,4,4,4
"F",18,6,30,2,3,2,5,2,3,0,0
"F",18,6,30,5,0,0,4,0,5,0,3
"F",18,6,30,3,1,0,0,0,2,0,0
"F",18,6,30,2,1,4,2,0,4,4,4
"F",18,6,30,0,4,0,2,1,5,5,0
"F",18,6,30,5,4,0,4,3,5,2,5
"F",18,6,30,2,2,3,4,2,0,5,5
"F",18,6,629,2,2,3,3,3,5,0,5
"F",18,6,629,5,4,0,5,3,3,2,1
"F",18,6,629,2,2,3,0,3,2,3,5
"F",18,6,629,5,1,4,2,0,4,5,5
"F",18,6,629,1,5,3,4,3,3,4,4
"F",18,6,629,3,3,3,1,5,0,4,1
"F",18,6,629,2,5,2,3,0,5,3,0
"F",18,6,629,0,2,1,4,4,2,5,0
"F",18,6,629,3,1,5,3,4,0,4,0
"F",18,6,629,5,5,5,4,4,4,0,1
"F",18,6,629,5,4,5,3,0,2,0,2
"F",18,6,629,2,0,2,1,1,0,3,4
"F",18,6,629,4,5,0,4,0,0,4,0
"F",1,6,985,5,3,0,2,1,3,1,2
"F",1,6,985,0,0,0,0,0,0,5,0
"F",1,6,985,0,0,3,0,4,3,3,0
"F",1,6,985,4,0,1,2,0,2,1,1
"F",1,6,985,0,3,2,2,1,5,1,2
"F",1,6,985,1,0,0,2,0,4,4,3
"F",1,6,985,2,0,0,2,0,3,0,5
"F",1,6,985,5,3,0,4,2,4,3,3
"F",1,6,985,5,5,5,2,5,3,2,2
"F",1,6,985,5,2,1,0,0,5,4,0
"F",1,6,985,1,2,3,1,1,0,5,2
"F",1,6,985,0,2,0,0,0,0,4,0
"F",1,6,985,0,5,1,5,1,2,1,3
"F",1,6,985,0,4,2,2,2,3,4,3
"M",18,7,122,5,4,5,1,5,4,5,1
"M",18,7,122,5,1,3,0,0,4,4,4
"M",18,7,122,2,0,4,1,3,2,5,4
"M",18,7,122,3,4,0,0,5,3,2,0
"M",18,7,122,5,5,2,2,0,3,3,1
"M",18,7,122,4,0,1,3,3,5,1,0
"M",18,7,122,2,3,0,2,5,0,0,1
"M",18,7,122,2,0,3,2,2,5,3,4
"M",18,7,122,0,1,4,2,5,4,1,1
"M",18,7,122,5,0,2,3,0,2,1,0
"M",18,7,122,4,1,3,1,5,2,4,3
"M",18,7,122,2,2,5,0,3,2,1,5
"M",18,7,122,5,3,0,4,3,2,3,3
"M",18,7,122,5,5,0,4,2,2,4,1
"M",18,7,122,5,3,0,4,3,3,2,4
"M",18,7,122,5,2,0,1,5,2,3,5
"M",18,7,122,2,5,2,3,3,0,5,3
"M",18,7,122,0,0,5,3,4,3,1,4
"M",18,7,122,5,3,1,2,2,4,0,1
"M",18,7,122,3,3,1,4,5,3,4,4
"M",18,7,122,3,1,1,4,3,5,0,0
"M",18,7,122,0,4,1,2,2,3,4,4
"M",18,7,122,5,3,4,2,0,5,4,0
"M",18,7,122,4,1,3,4,4,3,3,1
"M",18,7,122,5,5,0,0,0,4,5,0
"M",18,7,122,0,5,0,2,0,4,1,2
"M",18,7,122,1,2,0,2,5,4,3,4
"M",18,7,122,5,1,1,0,2,3,4,4
"M",25,7,136,5,0,2,0,4,4,1,2
"M",25,7,136,3,2,1,0,2,1,3,4
"M",25,7,136,1,0,0,1,1,5,2,4
"M",25,7,136,5,4,2,0,0,4,3,3
"M",25,7,136,0,1,1,4,0,2,5,3
"M",25,7,136,1,0,0,0,3,3,0,3
"M",25,7,136,0,4,4,3,3,5,4,2
"M",25,7,136,0,1,4,0,3,3,3,1
"M",25,7,136,3,5,0,4,5,0,4,0
"M",25,7,136,3,0,3,0,3,1,1,2
"M",25,7,136,5,2,0,2,2,2,4,5
"M",25,7,136,2,1,0,4,5,5,3,3
"M",25,7,136,5,3,1,0,0,2,0,0
"M",25,7,136,5,4,1,0,0,4,5,0
"M",25,7,136,2,5,5,3,0,5,2,3
"M",25,7,136,5,0,0,2,5,0,5,1
"M",25,7,136,3,1,3,4,1,0,4,1
"M",25,7,136,5,4,0,2,0,2,1,5
"M",25,7,136,5,3,0,2,0,4,4,4
"M",25,7,136,0,2,5,0,0,4,3,0
"M",25,7,136,0,4,0,0,0,5,0,4
"M",25,7,136,4,5,0,0,4,3,3,5
"M",25,7,136,1,2,0,0,4,4,1,0
"M",25,7,136,5,4,5,5,3,2,4,1
"M",25,7,136,5,5,0,0,0,0,2,5
"M",25,7,136,5,1,0,3,3,4,2,1
"M",25,7,136,0,4,3,5,2,3,4,5
"M",25,7,136,5,1,4,0,0,3,1,3
"M",25,7,136,5,4,2,2,5,5,0,4
"M",25,7,136,2,1,0,0,4,3,1,1
"M",25,7,136,5,0,0,0,0,1,1,4
"M",25,7,136,4,1,3,1,5,2,1,0
"M",25,7,136,5,0,0,2,5,5,4,1
"M",25,7,136,0,5,3,5,0,3,5,0
"M",25,7,136,5,4,4,1,3,0,4,4
"M",25,7,136,0,4,2,3,4,3,5,2
