"Gender","Age","Occupation","ZIP-code","247","1920","2017","2087"
"F",1,14,973,0,0,4,0
"M",25,12,372,4,0,0,0
"M",18,20,597,5,3,0,0
"M",56,2,501,3,3,0,3
"M",25,3,553,0,2,0,5
"M",18,20,550,4,0,4,4
"F",25,3,319,0,0,0,0
"M",25,18,452,2,2,0,4
"M",25,5,338,3,2,5,4
"F",25,13,793,0,3,5,4
"F",18,19,731,0,3,0,0
"M",18,8,752,3,0,3,3
"M",45,17,336,3,4,0,0
"M",25,9,741,0,2,0,0
"M",25,3,942,0,4,5,2
"M",1,19,347,0,0,3,4
"M",45,19,826,0,2,0,0
"M",1,15,601,0,0,5,2
"M",45,15,544,3,1,5,5
"F",18,0,468,3,2,4,3
"M",1,4,551,1,0,0,4
"M",18,11,480,4,5,0,2
"M",1,16,127,5,3,3,3
"M",18,9,843,0,1,0,5
"M",35,7,596,2,2,0,0
"M",1,5,312,0,2,0,1
"M",1,17,198,3,5,2,4
"F",35,2,209,0,5,0,0
"M",25,17,582,0,3,5,2
"F",56,14,633,0,0,0,4
"M",1,15,197,0,2,5,3
"M",18,18,705,0,0,3,5
"M",1,14,435,0,1,0,0
"M",18,20,221,0,4,0,2
"F",35,5,301,1,3,3,0
"M",25,18,793,0,3,0,0
"F",25,9,120,0,3,1,5
"F",45,6,453,0,4,0,0
"M",56,14,275,0,1,3,3
"F",50,1,337,0,3,0,2
"M",35,2,333,0,0,0,0
"M",18,14,681,3,5,2,0
"M",25,4,633,0,0,1,4
"F",35,20,358,3,0,5,4
"M",18,10,871,3,0,0,0
"F",50,7,916,1,2,5,3
"M",35,4,911,3,0,0,0
"M",18,2,196,0,2,0,5
"F",56,3,175,5,5,1,3
"M",1,4,450,0,1,5,4
"M",18,4,551,0,0,3,3
"M",50,16,708,2,5,3,3
"F",45,2,902,0,0,3,4
"M",1,5,13,0,2,1,3
"M",50,3,770,3,2,4,1
"F",18,10,949,4,2,0,5
"M",25,1,360,0,0,0,4
"M",1,18,602,3,0,0,0
"F",25,14,433,1,5,5,3
"M",35,18,465,1,1,5,4
"F",25,18,15,0,0,5,3
"M",25,12,333,1,2,0,4
"M",18,17,171,5,3,0,0
"F",35,8,465,0,4,5,4
"M",1,3,228,5,5,1,4
"F",50,0,286,3,1,0,0
"M",18,20,40,2,1,0,0
"M",56,14,571,1,0,0,0
"M",56,15,337,5,2,2,2
"F",56,0,627,0,0,3,3
"M",1,9,358,0,4,3,5
"M",35,12,440,2,3,4,1
"M",45,9,685,0,2,5,4
"M",25,0,840,0,0,0,0
"M",25,20,447,5,4,0,4
"M",25,10,958,5,4,0,4
"F",1,15,486,3,5,3,5
"M",45,14,284,5,1,5,0
"F",18,2,453,3,3,4,4
"F",45,4,582,0,0,0,4
"M",50,1,441,3,3,5,3
"M",45,5,175,1,0,0,0
"F",25,9,609,4,0,5,5
"M",25,5,262,0,0,3,2
"F",18,7,50,0,5,0,0
"M",45,6,53,2,0,2,5
"F",35,5,956,4,1,5,4
"F",1,20,220,3,2,3,5
"M",25,5,915,0,5,0,0
"M",18,10,612,0,0,0,3
"M",18,16,560,0,5,0,4
"M",35,19,489,2,0,1,5
"F",35,2,945,2,0,3,0
"F",45,15,956,0,0,0,3
"M",25,0,959,5,5,1,5
"M",56,8,148,0,3,5,4
"M",18,20,56,5,1,0,4
"M",25,20,944,2,4,4,5
"M",1,12,88,3,0,0,0
"F",35,11,337,0,4,0,3
"M",50,18,453,3,0,4,4
"F",50,11,333,1,5,1,0
"F",1,4,559,0,4,1,4
"M",56,8,452,5,5,2,2
"M",35,15,150,4,2,1,5
"M",25,20,840,0,0,5,4
"M",1,2,951,4,0,3,0
"F",50,11,208,0,1,0,3
"M",1,4,115,5,0,2,1
"F",35,10,98,0,4,2,5
"F",25,2,222,5,0,3,3
"M",18,5,793,0,0,3,0
"F",18,2,170,0,2,0,2
"M",45,18,115,3,1,3,4
"F",25,19,605,4,5,0,0
"M",35,1,942,0,0,1,0
"M",18,2,631,1,0,0,4
"M",18,19,458,3,0,0,0
"F",18,11,240,0,0,0,2
"M",35,0,558,4,1,3,4
"M",50,3,786,5,0,4,5
"M",18,19,284,2,1,2,2
"M",45,0,378,2,0,5,4
"M",25,0,261,5,0,2,3
"M",25,6,803,2,2,0,4
"M",18,3,945,1,0,5,4
"M",35,18,82,3,0,0,0
"M",56,2,245,0,3,1,4
"M",18,2,942,2,0,5,3
"M",35,7,997,2,2,0,0
