"Gender","Age","Occupation","ZIP-code","260","1097","2628","2174","2797","1073","2100","2968","2105","2193"
"F",1,14,973,5,3,5,3,4,0,0,2,5,0
"M",25,12,372,0,0,2,5,4,5,2,1,5,2
"M",18,20,597,1,2,1,3,0,2,4,4,3,1
"M",56,2,501,2,4,5,0,4,5,4,4,4,1
"M",25,3,553,4,0,4,1,3,4,0,3,5,1
"M",18,20,550,0,4,5,0,1,0,0,5,5,2
"F",25,3,319,5,1,4,3,4,2,1,1,4,5
"M",25,18,452,0,4,4,1,4,0,0,1,1,0
"M",25,5,338,5,3,0,1,0,0,3,0,2,4
"F",25,13,793,4,5,3,4,3,0,0,4,0,3
"F",18,19,731,5,4,1,5,2,0,3,0,2,3
"M",18,8,752,5,4,2,5,4,5,0,1,2,4
"M",45,17,336,5,4,5,4,0,3,0,0,3,0
"M",25,9,741,4,0,0,5,5,2,5,1,0,0
"M",25,3,942,2,2,3,2,0,1,4,3,2,4
"M",1,19,347,5,0,5,1,3,5,3,0,0,0
"M",45,19,826,3,1,4,0,0,2,3,1,5,0
"M",1,15,601,5,3,2,2,5,5,0,0,5,0
"M",45,15,544,4,2,1,1,3,5,0,4,2,1
"F",18,0,468,1,2,3,0,1,5,4,1,3,2
"M",1,4,551,0,2,1,4,0,1,0,4,3,3
"M",18,11,480,5,3,4,4,4,4,0,4,3,0
"M",1,16,127,4,2,5,2,5,2,5,5,4,0
"M",18,9,843,0,1,4,1,2,1,0,4,3,0
"M",35,7,596,5,4,4,0,4,2,0,2,2,2
"M",1,5,312,4,5,3,0,2,0,0,3,3,0
"M",1,17,198,5,4,5,1,5,0,0,3,3,0
"F",35,2,209,0,0,3,1,2,5,0,0,5,3
"M",25,17,582,3,2,0,2,2,0,4,3,5,0
"F",56,14,633,0,4,5,1,4,5,3,0,4,0
"M",1,15,197,5,2,0,1,5,0,0,0,5,0
"M",18,18,705,2,3,5,4,2,4,0,0,5,5
"M",1,14,435,1,5,5,3,0,3,0,2,3,2
"M",18,20,221,1,5,1,4,0,2,0,2,3,1
"F",35,5,301,5,4,4,4,1,1,2,2,2,3
"M",25,18,793,5,0,1,1,0,4,0,0,5,0
"F",25,9,120,5,3,5,3,4,5,0,1,0,4
"F",45,6,453,2,1,4,5,0,3,4,0,3,4
"M",56,14,275,5,1,0,1,0,5,1,0,2,0
"F",50,1,337,1,1,3,2,2,0,0,5,3,1
"M",35,2,333,4,2,3,3,0,5,0,0,0,3
"M",18,14,681,1,3,0,1,1,3,3,4,1,4
"M",25,4,633,1,1,3,5,2,1,4,3,0,5
"F",35,20,358,4,1,3,3,5,5,0,0,0,5
"M",18,10,871,0,3,0,3,4,2,0,0,5,0
"F",50,7,916,0,0,5,2,1,4,3,1,0,4
"M",35,4,911,5,4,4,0,4,1,3,5,4,0
"M",18,2,196,4,2,4,2,2,4,1,4,4,1
"F",56,3,175,4,4,4,2,0,5,0,0,5,4
"M",1,4,450,4,0,5,5,2,5,0,5,3,1
"M",18,4,551,0,0,0,4,5,4,0,0,4,0
"M",50,16,708,4,1,2,0,1,5,0,0,0,0
"F",45,2,902,3,5,1,5,2,5,5,1,5,1
"M",1,5,13,0,5,3,3,2,1,0,5,2,5
"M",50,3,770,2,2,0,4,2,2,4,1,1,4
"F",18,10,949,1,2,5,3,3,4,3,4,1,1
"M",25,1,360,2,3,0,0,4,2,4,4,2,0
"M",1,18,602,4,5,1,3,3,5,0,5,0,3
"F",25,14,433,5,5,1,0,0,5,3,3,3,3
"M",35,18,465,2,3,3,2,3,1,5,1,3,5
"F",25,18,15,5,2,1,4,2,5,5,1,3,5
"M",25,12,333,5,4,4,1,0,3,0,0,5,0
"M",18,17,171,5,0,2,0,4,4,0,3,1,0
"F",35,8,465,5,5,0,0,4,1,4,4,2,0
"M",1,3,228,4,4,3,4,0,3,4,5,0,2
"F",50,0,286,1,3,3,1,5,2,4,2,0,5
"M",18,20,40,5,1,3,3,4,1,4,5,5,5
"M",56,14,571,3,1,0,4,0,0,0,3,0,0
"M",56,15,337,5,1,0,2,3,2,0,4,2,0
"F",56,0,627,5,3,4,2,3,1,4,3,0,0
"M",1,9,358,3,2,0,2,2,2,4,5,4,5
"M",35,12,440,2,2,0,4,3,3,5,0,0,0
"M",45,9,685,0,3,4,3,4,2,0,5,2,5
"M",25,0,840,5,2,3,3,0,5,4,1,2,4
"M",25,20,447,5,2,0,5,0,1,3,1,3,0
"M",25,10,958,3,1,3,5,0,5,1,0,2,4
"F",1,15,486,2,5,2,5,2,3,2,3,3,5
"M",45,14,284,5,0,3,3,1,3,1,2,4,3
"F",18,2,453,5,2,4,1,3,3,0,5,5,4
"F",45,4,582,4,5,2,3,4,4,0,0,5,0
"M",50,1,441,4,3,0,3,4,5,0,0,4,0
"M",45,5,175,0,2,5,5,0,4,0,0,0,4
"F",25,9,609,5,1,0,0,4,4,0,0,3,0
"M",25,5,262,3,3,1,0,1,0,4,4,4,3
"F",18,7,50,0,1,0,5,4,5,0,1,0,0
"M",45,6,53,1,2,0,2,5,3,2,3,1,2
"F",35,5,956,2,2,5,3,4,2,0,5,3,5
"F",1,20,220,5,4,4,1,2,5,3,1,4,0
"M",25,5,915,1,3,3,1,4,3,0,3,4,1
"M",18,10,612,2,1,4,2,2,2,4,0,5,1
"M",18,16,560,3,4,0,1,0,2,3,1,5,0
"M",35,19,489,5,4,2,1,3,0,4,4,0,0
"F",35,2,945,0,5,2,1,0,5,2,0,4,0
"F",45,15,956,5,4,5,2,5,5,0,4,4,0
"M",25,0,959,5,3,3,3,5,0,0,5,3,5
"M",56,8,148,0,0,5,5,0,4,4,0,4,0
"M",18,20,56,4,1,4,1,5,2,4,4,2,0
"M",25,20,944,5,4,0,0,5,4,0,3,0,4
"M",1,12,88,1,4,3,1,3,0,0,0,4,1
"F",35,11,337,2,3,3,5,4,5,0,3,5,5
"M",50,18,453,5,3,5,2,3,5,2,5,5,0
"F",50,11,333,5,3,0,1,0,2,0,5,3,0
"F",1,4,559,3,3,4,5,4,3,2,4,2,2
"M",56,8,452,5,2,5,1,1,5,0,3,3,0
"M",35,15,150,3,4,5,3,3,1,4,5,1,1
"M",25,20,840,2,3,2,5,3,4,4,4,0,1
"M",1,2,951,5,3,3,2,0,3,0,1,0,4
"F",50,11,208,0,3,4,3,3,0,3,0,3,4
"M",1,4,115,4,1,4,4,2,1,4,1,2,0
"F",35,10,98,3,2,4,5,2,3,0,2,5,2
"F",25,2,222,1,5,2,4,1,3,4,2,0,1
"M",18,5,793,5,3,5,0,3,5,1,3,3,5
"F",18,2,170,2,1,5,4,0,4,0,2,3,4
"M",45,18,115,5,0,4,1,5,0,3,0,5,4
"F",25,19,605,3,3,3,2,4,5,3,2,0,5
"M",35,1,942,0,5,5,2,0,3,3,0,2,0
"M",18,2,631,2,0,1,3,5,4,5,5,3,5
"M",18,19,458,2,1,2,0,4,0,0,5,5,4
"F",18,11,240,5,5,0,5,4,1,4,2,5,1
"M",35,0,558,4,3,5,2,5,0,2,2,3,3
"M",50,3,786,2,5,3,2,0,3,3,2,0,4
"M",18,19,284,3,3,0,3,5,0,4,4,3,0
"M",45,0,378,0,1,1,4,0,5,0,2,0,0
"M",25,0,261,5,5,3,1,1,4,1,5,5,1
"M",25,6,803,4,4,2,3,4,5,4,5,5,0
"M",18,3,945,0,4,4,4,3,4,4,5,0,1
"M",35,18,82,5,0,3,5,5,4,5,4,0,5
"M",56,2,245,0,3,0,2,5,3,0,0,3,0
"M",18,2,942,5,5,4,2,3,0,0,1,0,3
"M",35,7,997,2,0,3,2,3,5,2,0,0,1
"M",25,11,991,5,0,4,0,4,3,3,0,0,0
"M",50,17,967,0,5,5,4,0,5,4,2,4,0
