Gender,Age,Occupation,ZIP-code,247,2100,2143,2872,3479
F,25,3,191,2,5,0,0,1
M,25,18,146,0,4,0,5,0
M,35,10,598,3,4,2,3,4
F,25,2,103,4,4,0,0,1
M,25,11,780,1,1,0,3,1
M,35,12,371,4,4,3,3,5
F,50,19,197,1,0,0,0,1
F,18,9,64,3,0,0,0,4
M,25,17,544,3,2,0,0,2
F,18,17,488,1,4,2,5,4
F,56,19,950,0,0,0,3,3
M,35,14,457,4,4,2,2,0
F,50,1,279,4,0,0,0,0
M,18,2,942,1,0,0,0,0
F,35,14,758,5,2,5,1,0
M,25,17,773,4,3,0,0,0
M,25,7,482,0,1,0,0,4
F,56,16,171,0,4,0,0,3
F,25,20,338,5,0,0,0,0
M,18,15,833,0,0,0,3,0
F,50,10,122,2,5,2,1,3
M,45,19,977,5,0,3,4,1
F,18,9,23,1,5,3,4,4
F,1,20,680,4,3,1,4,4
M,56,15,272,3,3,0,0,0
M,18,15,373,4,3,3,3,1
M,45,14,523,3,0,0,0,0
M,25,20,983,2,0,0,0,4
F,45,17,474,3,5,3,5,2
M,1,16,780,5,0,1,0,0
M,25,20,660,0,4,0,0,0
M,25,1,495,1,0,0,0,3
M,56,11,700,4,2,5,5,2
M,25,6,540,5,4,0,5,2
M,25,7,320,2,0,5,2,3
M,56,12,790,5,5,5,3,1
M,25,19,178,4,4,5,5,0
M,50,0,18,3,2,0,0,0
F,25,17,485,5,0,0,0,1
M,25,2,180,5,2,0,5,1
M,56,13,303,2,1,4,4,3
F,45,12,421,2,4,0,0,3
M,56,8,79,1,0,2,4,4
F,35,7,970,5,5,4,4,4
M,1,1,658,2,0,1,4,5
M,35,15,193,2,0,0,1,2
F,35,18,103,1,1,1,2,4
M,45,11,78,3,0,0,0,0
F,56,6,906,0,0,0,0,0
F,56,15,100,4,0,1,5,5
F,25,7,331,0,0,0,0,0
M,18,20,431,2,5,0,5,4
F,25,15,309,2,5,0,0,0
M,18,12,966,0,3,3,4,4
M,56,0,228,3,3,2,4,5
M,56,7,142,1,3,3,1,1
F,35,6,705,1,3,0,0,0
F,25,8,551,3,2,0,0,0
M,25,11,605,3,1,0,2,0
F,1,13,312,1,5,5,0,0
M,25,1,966,1,0,0,0,3
F,25,5,727,0,0,2,5,3
M,35,8,537,3,0,0,0,5
F,35,11,891,1,3,0,0,0
F,25,1,431,4,0,3,5,5
M,50,2,553,0,2,0,0,0
M,45,4,461,4,0,0,0,0
F,18,5,69,1,2,4,5,1
M,25,15,627,0,0,0,0,3
F,1,13,372,2,0,0,0,3
F,1,20,923,5,5,2,2,4
M,18,3,493,3,2,0,0,0
F,50,16,111,4,4,3,4,2
M,25,11,498,1,0,0,4,5
F,35,0,286,4,1,4,3,0
F,1,0,208,0,0,2,5,0
M,45,7,953,1,2,0,0,3
M,50,11,633,5,5,1,0,1
F,56,17,931,2,3,0,1,4
F,45,15,377,2,0,4,0,0
M,25,3,905,0,0,0,3,0
F,56,1,540,5,2,4,3,5
M,50,20,930,0,4,3,4,4
M,50,7,190,5,4,0,2,4
M,50,4,674,0,1,0,0,0
F,45,8,424,4,2,4,2,2
M,45,1,224,4,0,0,4,4
F,35,11,900,5,3,0,1,1
M,56,5,433,2,2,0,0,0
M,25,15,80,3,0,3,1,2
F,1,9,347,2,0,5,1,2
F,18,19,550,3,3,2,1,3
M,1,11,484,2,3,0,3,5
M,35,19,273,5,1,0,0,0
M,25,9,662,0,4,4,0,0
M,56,4,211,4,0,0,0,0
F,25,9,486,3,0,0,0,5
F,56,18,229,5,4,3,1,1
F,45,18,286,3,1,1,0,0
F,35,1,333,4,0,5,1,4
F,25,9,549,1,4,2,3,2
M,45,17,132,4,0,3,4,4
M,1,9,501,0,1,5,3,3
M,25,19,26,2,2,1,2,0
M,1,9,279,3,2,5,2,2
M,56,18,557,0,2,1,2,5
F,18,11,940,4,4,0,0,5
F,56,15,165,0,5,0,1,4
M,25,11,191,5,0,2,0,5
M,1,15,307,2,2,2,0,0
F,56,10,10,0,2,3,2,3
M,25,3,954,0,5,4,5,5
M,1,14,381,4,4,2,1,1
M,50,18,681,2,4,3,0,0
M,35,15,741,2,2,1,0,0
M,18,3,840,1,5,3,4,3
M,25,15,597,2,2,0,0,2
F,45,17,914,2,1,0,0,0
M,1,7,503,4,5,0,3,5
F,50,17,193,4,0,0,0,0
M,25,2,805,2,0,0,0,1
M,25,19,782,4,0,0,0,0
F,25,7,61,4,0,0,3,5
M,25,17,166,2,0,0,0,0
