Gender,Age,Occupation,ZIP-code,247,1920,2017,2087
M,45,2,6,0,0,0,3
F,25,14,6,5,0,3,4
M,45,4,6,1,1,0,0
M,45,15,6,3,1,3,5
M,25,8,6,5,2,5,0
M,25,2,6,0,2,0,3
F,25,20,6,0,4,3,1
F,25,12,6,0,3,0,4
F,35,2,6,0,5,0,0
M,1,13,10,5,0,0,5
M,50,19,10,5,0,1,0
M,1,15,10,0,0,0,5
M,25,11,10,0,1,5,0
M,18,17,10,0,2,0,1
F,18,15,10,1,2,0,0
M,35,4,10,1,2,3,4
M,18,1,10,2,2,2,0
M,25,11,10,4,5,0,3
M,45,0,10,0,4,3,3
M,1,1,10,4,4,2,0
M,25,14,916,3,4,0,3
F,25,10,10,2,5,4,4
F,35,4,10,0,5,3,4
F,35,4,12,1,0,0,3
M,35,0,12,0,0,2,3
M,35,2,12,0,0,0,4
M,25,7,12,4,1,1,3
M,25,19,12,4,2,0,0
F,35,13,12,0,2,0,3
F,25,15,12,0,4,5,4
F,45,8,12,0,3,0,0
F,25,14,12,1,5,0,1
M,45,0,13,0,0,3,4
F,35,7,13,0,0,0,0
M,25,15,13,3,4,0,3
F,56,0,13,4,3,4,2
M,56,2,15,3,0,4,0
M,18,0,15,0,0,0,0
F,35,6,15,4,0,0,4
M,45,9,15,1,0,0,4
M,18,5,15,5,0,0,2
F,56,3,15,0,0,1,2
F,25,4,15,0,0,0,2
F,35,13,15,0,0,5,5
M,35,12,15,0,2,3,3
M,50,8,15,0,1,0,0
F,56,11,15,0,1,0,4
F,50,18,15,1,1,0,4
M,18,13,15,5,2,4,3
F,45,4,15,0,2,0,1
M,35,7,15,4,2,0,4
M,50,0,15,1,3,0,3
M,18,7,15,3,3,4,4
M,50,12,15,0,4,0,4
M,18,17,15,3,4,2,3
M,18,19,15,0,5,0,4
M,18,15,16,4,0,0,4
M,25,20,16,0,0,0,0
M,35,0,16,0,0,0,2
F,18,7,16,5,0,1,0
F,18,20,16,4,0,2,0
M,18,13,16,0,0,1,3
M,56,2,16,2,0,4,0
M,25,15,16,1,0,0,5
M,25,2,16,0,0,2,3
F,35,0,16,0,0,0,0
M,56,9,16,4,0,0,3
M,45,16,16,0,0,0,0
M,25,1,16,5,0,0,4
M,25,14,16,0,0,0,0
