Gender,Age,Occupation,ZIP-code,2,56,673,810,885,1009,1073,1097,1525,1654,1702,1750,1881,1920,1967,2017,2043,2087,2093,2138,2399,3438,3439,3440
M,25,14,631,5,1,4,0,2,0,1,0,2,0,0,1,0,3,3,2,0,4,0,0,0,0,0,5
F,35,11,921,3,2,4,0,0,3,3,0,2,0,0,2,1,4,4,0,3,0,3,0,2,0,0,3
F,25,17,924,0,3,2,0,3,0,4,1,4,5,4,4,1,2,0,1,5,5,0,4,2,5,3,0
F,35,10,815,2,0,0,1,2,1,5,5,0,4,0,0,0,3,2,5,5,5,5,0,0,0,0,4
M,18,17,171,4,4,2,4,2,2,4,0,0,4,4,0,4,3,4,2,1,0,4,3,5,0,3,1
F,25,19,803,2,4,0,3,2,5,5,4,5,0,0,5,2,2,0,3,5,2,5,2,2,1,0,3
F,50,20,501,1,0,1,0,0,2,4,0,5,1,4,1,4,1,1,2,3,4,0,0,1,0,3,5
F,1,4,622,4,1,3,0,2,0,1,5,0,0,0,0,2,2,2,1,3,0,4,1,5,2,5,5
M,50,19,974,1,0,2,3,0,1,4,3,2,0,0,4,2,4,0,0,1,4,0,3,0,3,2,2
F,56,4,931,0,0,0,0,5,4,3,5,0,0,0,0,5,1,4,1,5,0,0,0,0,1,0,0
F,35,3,913,3,0,1,0,1,0,3,4,4,0,0,0,5,0,0,4,0,0,0,3,0,0,1,2
F,18,11,443,2,2,0,0,4,0,3,1,0,3,0,4,0,2,2,5,1,0,3,1,0,5,0,5
M,25,3,21,0,0,0,3,5,5,1,2,1,2,4,2,5,4,1,0,0,0,0,0,3,4,5,4
F,25,6,211,5,1,0,3,2,4,3,5,0,1,2,0,2,2,4,2,4,3,2,4,5,0,2,4
F,18,3,965,3,0,5,2,4,1,0,4,2,3,2,2,1,0,1,5,5,4,0,0,3,3,0,2
M,50,8,290,1,0,0,0,4,1,0,1,0,0,0,3,1,2,2,5,1,0,3,4,0,1,0,1
M,45,10,641,5,4,3,2,2,3,5,1,0,0,1,5,2,2,0,5,0,3,2,3,3,5,4,1
M,50,12,112,2,2,4,5,4,5,0,4,5,2,2,4,0,0,1,4,4,2,3,0,2,3,5,4
F,18,14,803,3,4,3,0,4,4,3,5,0,5,0,0,1,2,4,5,3,3,3,2,1,1,0,0
F,25,14,146,4,5,1,4,0,3,0,5,0,5,0,0,0,3,2,5,3,1,5,4,4,0,0,0
F,18,18,602,2,2,0,1,1,3,3,1,4,5,1,4,4,1,3,3,1,0,4,3,5,4,1,4
M,25,4,396,0,3,4,0,5,3,4,3,2,0,0,0,1,4,5,0,1,3,3,0,2,0,4,4
F,1,7,804,0,0,2,1,3,0,1,3,0,0,0,0,0,0,1,0,5,0,0,2,0,0,0,0
M,18,6,850,3,0,1,1,4,0,0,5,5,4,3,2,4,1,2,1,4,3,0,5,5,2,2,3
M,18,19,741,2,0,4,3,3,2,0,4,0,4,2,3,4,2,1,0,4,3,1,3,1,3,2,0
M,18,17,152,2,1,0,0,2,0,0,1,0,5,0,2,3,5,5,1,3,1,4,0,3,0,0,0
F,45,13,627,4,4,1,1,0,1,4,2,5,0,0,5,1,0,2,5,2,0,3,0,1,0,3,4
F,45,5,894,5,0,2,0,0,0,3,1,3,0,0,0,2,2,0,2,5,4,0,3,0,0,5,1
M,18,0,336,3,1,1,1,0,3,0,1,0,0,0,0,0,0,1,0,1,4,0,0,1,3,4,3
M,50,14,471,5,4,3,0,0,3,4,1,0,2,3,0,1,3,0,0,2,4,4,0,1,0,0,4
M,50,2,796,0,5,1,0,0,3,3,0,4,0,0,5,1,3,0,3,0,1,4,2,3,3,0,0
M,45,9,681,4,5,1,3,0,1,2,2,1,0,2,0,2,2,4,0,5,5,2,4,2,5,3,0
