Gender,Age,Occupation,ZIP-code,247,1920,2017,2087
F,56,18,871,0,2,3,1
M,25,4,424,0,0,0,0
M,18,12,21,3,0,0,4
F,35,4,62,0,3,0,0
F,50,19,140,1,0,4,5
F,25,11,489,0,4,0,5
F,25,14,443,1,0,0,0
M,18,3,469,3,2,5,5
F,45,11,600,0,0,0,4
F,45,5,175,1,4,3,3
M,25,8,274,1,2,2,0
M,56,18,345,1,0,1,0
M,45,14,974,3,4,5,2
F,1,12,640,4,5,3,0
M,50,5,111,3,5,3,4
F,50,12,376,5,2,1,5
F,35,19,323,3,4,3,5
F,35,4,437,0,4,3,0
F,1,2,6,0,3,0,3
M,45,12,326,5,0,0,4
F,45,6,292,5,5,5,3
F,18,15,265,1,3,0,4
F,18,9,465,4,2,4,4
M,45,2,627,2,2,4,3
M,35,10,604,1,0,0,0
M,56,11,559,2,0,0,5
F,25,5,631,2,0,1,0
M,50,15,912,0,0,2,4
M,50,11,41,1,1,0,0
M,25,4,952,5,0,5,5
M,56,2,114,0,0,1,5
F,18,10,527,3,0,0,0
M,35,7,98,0,0,0,0
M,25,20,127,0,0,0,0
M,56,17,483,1,5,1,3
M,56,7,314,1,0,1,4
F,45,20,941,0,2,3,0
M,50,10,782,0,0,4,0
M,25,8,908,0,5,0,3
F,56,15,488,2,3,0,0
F,18,16,741,0,0,0,0
M,50,6,775,5,2,2,3
M,18,13,603,4,3,4,0
F,50,11,931,0,0,5,0
M,18,0,465,0,0,0,0
F,25,14,16,0,0,0,0
M,35,20,652,2,1,5,3
M,1,4,378,4,1,3,3
F,50,3,87,0,0,4,4
M,45,13,15,0,1,5,5
M,1,6,435,1,3,0,0
M,25,1,329,0,4,0,3
M,35,4,226,0,1,1,3
F,1,1,813,1,5,2,4
F,18,17,765,0,4,0,3
F,56,17,720,1,4,2,0
F,56,0,76,2,2,0,0
F,18,20,462,5,5,4,4
F,25,2,90,0,3,5,0
M,25,14,836,2,0,0,0
M,50,11,826,3,0,4,3
F,50,7,90,0,3,4,1
M,25,12,223,5,2,0,2
M,1,15,758,3,0,0,0
F,18,1,630,1,2,0,3
M,25,20,284,0,0,1,4
M,1,16,312,0,3,4,5
M,50,17,402,0,0,0,2
M,56,1,973,3,0,0,0
M,18,10,836,1,5,5,0
F,35,15,146,3,5,0,0
F,35,14,756,0,0,0,0
M,35,19,28,2,3,0,0
F,35,0,244,0,1,3,2
F,35,8,837,0,0,0,0
M,25,17,993,2,4,0,0
M,18,7,935,1,0,2,2
F,1,19,23,4,2,3,4
M,18,14,490,1,3,3,1
F,56,15,501,2,1,5,4
F,35,11,773,2,5,4,4
M,25,4,853,0,5,0,0
M,25,18,492,5,0,0,3
F,25,8,286,0,3,2,4
M,1,6,952,1,4,4,0
F,50,9,622,0,4,3,5
M,1,1,16,2,3,0,5
F,25,13,354,5,1,4,3
F,18,17,140,0,3,4,0
M,35,1,222,4,4,4,2
F,56,13,708,2,1,5,1
F,45,14,765,2,5,3,3
F,18,4,175,3,0,4,4
M,25,2,166,0,0,0,4
F,45,20,943,0,3,0,0
F,1,10,166,1,0,3,0
F,18,9,329,2,5,2,3
M,25,17,945,0,0,0,0
M,25,3,123,5,2,0,0
M,56,2,209,0,3,1,0
M,25,20,31,0,0,0,4
M,1,11,958,4,0,3,1
F,56,0,949,2,5,5,0
F,35,19,333,4,4,0,5
F,35,13,442,2,4,4,0
F,35,7,54,0,3,0,0
M,25,0,803,2,5,0,4
M,18,12,228,0,3,0,5
F,18,0,917,0,4,0,0
M,50,20,786,2,1,1,1
F,25,3,937,0,2,0,5
M,50,17,756,5,0,5,3
M,56,20,53,0,0,1,0
F,45,20,652,4,4,4,2
M,25,10,354,1,5,0,4
M,25,9,122,2,3,0,3
F,25,19,286,4,5,5,4
M,35,4,778,1,5,5,4
F,45,6,78,0,1,3,3
F,18,15,198,4,4,0,3
M,18,12,740,5,0,2,2
M,18,12,991,3,2,4,4
M,50,13,870,4,3,3,1
F,18,5,969,3,0,0,4
M,18,2,756,3,3,4,3
M,18,17,90,2,2,1,5
F,1,6,143,0,2,3,4
F,56,0,501,2,4,0,5
M,25,11,603,0,0,0,0
M,56,9,131,0,0,3,4
F,45,15,228,0,3,4,5
M,1,10,557,0,4,4,3
F,35,4,131,0,5,0,0
M,56,14,895,0,5,0,5
F,56,14,547,3,4,4,2
M,56,7,180,3,5,5,4
M,18,10,45,0,4,0,5
M,56,4,224,4,5,1,4
F,56,17,833,0,5,5,4
F,25,1,53,4,5,1,3
M,25,2,224,0,4,0,2
M,18,17,220,0,5,0,5
F,18,4,338,1,3,0,5
F,25,16,878,0,4,3,4
M,56,9,913,0,5,4,2
M,45,0,105,0,0,0,0
M,50,16,490,4,0,4,3
M,35,9,262,0,0,0,0
F,45,15,437,0,3,4,2
F,18,7,272,0,5,0,4
M,56,15,193,1,3,0,4
M,18,11,501,2,0,0,0
M,25,20,441,2,0,5,0
F,1,20,285,2,5,0,4
M,25,8,726,2,0,0,0
M,1,12,123,0,0,3,0
M,50,5,534,0,4,0,1
