Gender,Age,Occupation,ZIP-code,260,1097,2628,2174,2797,1073,2100,2968,2105,2193
F,25,14,550,2,4,3,5,2,5,5,1,5,2
F,45,4,966,0,4,3,4,1,5,4,0,5,3
M,18,6,522,0,2,3,5,3,4,3,4,5,1
M,50,7,27,2,0,0,2,3,1,4,0,0,3
M,25,1,333,5,4,3,0,4,3,3,0,3,0
M,56,3,590,5,4,3,4,3,5,4,3,1,3
F,35,6,85,4,5,4,3,0,1,3,4,1,4
F,45,8,787,5,4,0,2,3,0,3,1,2,1
F,50,0,12,5,3,5,5,3,4,2,5,1,4
F,35,4,98,5,4,2,1,4,0,0,0,3,0
F,18,17,362,3,2,4,0,3,0,0,1,0,2
F,25,15,297,0,2,4,3,2,0,3,5,5,2
M,35,4,756,0,2,3,0,1,2,2,0,4,0
M,18,13,934,4,0,4,1,4,1,1,3,2,1
M,50,18,54,3,3,2,0,2,5,4,1,3,0
F,56,14,980,5,0,3,3,0,0,1,0,0,5
M,25,9,262,4,2,4,2,3,5,4,3,2,0
F,56,4,840,0,0,3,2,3,3,0,0,1,3
M,35,10,450,5,1,2,3,2,4,2,3,3,5
M,45,0,336,4,5,3,2,4,5,2,5,5,4
M,56,14,372,5,2,3,4,2,4,1,4,5,1
M,35,3,333,5,5,2,4,4,1,0,4,5,0
M,25,17,945,0,0,3,4,0,5,0,0,0,4
M,45,7,402,5,4,4,3,5,4,1,4,2,5
F,45,2,48,5,0,0,5,2,5,2,0,2,5
M,25,1,223,4,5,3,3,2,1,1,1,2,0
F,25,14,26,3,3,3,1,0,4,5,1,0,5
F,35,15,303,2,4,3,2,2,0,0,0,0,5
M,25,4,939,2,2,1,0,0,0,0,3,5,0
M,35,7,547,2,3,1,4,1,0,5,3,5,5
M,25,19,991,2,4,4,2,3,5,2,2,0,4
M,18,2,450,2,4,3,4,5,1,5,4,3,0
F,50,3,981,4,5,3,3,0,4,3,0,2,4
F,35,12,462,0,2,4,1,2,4,3,4,4,4
M,25,8,582,5,4,1,0,0,5,1,3,0,2
M,25,14,660,1,0,2,3,1,5,0,4,5,0
F,1,9,907,4,0,2,3,3,5,5,5,2,5
F,25,12,322,5,0,4,3,3,3,1,1,2,3
M,18,16,600,0,3,2,0,0,0,0,5,0,3
M,45,17,142,5,2,4,2,4,5,2,1,4,0
M,25,6,280,0,2,0,5,5,0,3,3,5,4
F,35,16,294,5,5,0,3,4,0,3,4,0,3
F,25,12,277,5,2,4,0,4,5,3,2,5,0
M,25,2,837,0,5,5,4,4,1,0,5,4,5
F,45,17,928,0,2,2,1,0,0,5,3,1,1
M,45,8,143,1,5,0,0,3,3,5,0,0,0
M,45,2,780,5,3,3,3,5,4,2,4,3,5
F,1,13,782,5,2,4,2,3,1,2,0,3,4
M,25,14,450,1,5,4,2,5,5,3,0,5,0
M,1,16,988,5,3,5,0,5,4,4,0,0,5
F,45,0,285,3,0,2,3,4,5,2,4,1,0
M,25,1,323,5,5,0,3,4,3,3,0,3,0
M,35,0,240,5,3,4,2,0,4,5,0,4,0
M,25,17,136,2,5,2,1,4,1,0,2,3,5
F,45,7,78,5,1,1,3,0,2,0,1,1,1
F,25,5,777,4,1,3,2,2,5,3,1,5,5
F,18,20,221,3,4,1,0,3,5,3,0,0,3
F,50,7,175,4,1,3,0,2,5,3,2,0,0
M,25,20,111,5,4,5,2,4,1,4,3,3,2
M,25,15,88,1,4,0,0,5,3,5,3,0,1
M,18,15,40,5,5,0,5,0,5,2,2,1,5
M,25,1,104,0,0,0,4,4,5,4,5,2,0
F,50,3,142,4,2,5,4,1,2,5,5,5,4
M,35,13,560,5,4,0,5,5,0,3,1,2,5
F,35,13,240,0,4,0,0,4,5,3,0,0,4
F,45,3,797,5,2,4,2,4,3,0,2,1,0
M,1,7,911,5,0,2,2,0,3,0,5,4,0
F,25,16,180,5,3,0,0,1,3,2,1,0,5
M,56,12,175,0,5,3,3,4,2,2,0,4,5
M,18,10,557,2,5,2,0,0,4,2,4,4,0
M,45,13,42,1,3,5,5,3,5,0,4,3,4
F,35,7,370,1,2,5,4,2,3,3,0,3,3
M,25,1,405,1,2,4,5,2,5,4,4,4,5
F,56,5,166,5,5,2,4,3,0,0,3,1,5
F,1,17,328,0,3,3,2,3,0,5,4,0,5
F,25,8,442,2,3,4,2,0,0,3,5,0,0
M,18,15,967,4,5,4,4,0,2,3,2,5,1
F,18,17,537,4,4,4,0,4,1,3,5,0,3
F,45,17,923,5,4,4,0,5,4,2,0,4,4
M,25,14,279,0,2,2,0,3,3,1,4,0,5
F,1,14,80,5,5,2,4,1,5,4,5,0,5
F,45,7,297,3,5,5,3,3,0,0,3,0,4
F,35,15,197,4,5,4,0,4,3,4,5,4,1
M,56,17,191,3,0,3,3,2,0,3,0,3,5
M,25,20,377,1,1,2,1,0,2,3,1,1,0
M,25,4,405,4,0,0,3,2,4,3,2,3,5
M,1,7,641,1,2,2,0,0,5,0,5,5,0
M,25,1,468,2,5,3,5,0,1,4,3,3,0
M,18,3,166,0,3,0,3,5,1,3,0,4,0
M,18,3,631,1,4,3,3,0,1,5,3,5,2
F,25,2,274,5,5,3,4,4,0,0,1,0,4
F,35,5,993,3,1,0,4,0,3,1,1,0,2
M,45,7,949,5,2,2,4,0,0,0,0,1,3
F,25,17,417,0,2,4,2,4,4,4,3,0,2
F,45,20,436,0,2,4,3,3,0,0,2,1,4
M,56,14,273,4,1,0,0,4,4,2,5,1,4
M,18,3,150,1,3,0,0,0,4,3,0,2,0
M,25,12,925,2,5,5,1,3,5,1,0,1,0
M,1,11,672,5,0,0,2,3,5,3,2,4,5
F,50,6,914,1,4,1,0,0,0,2,5,3,3
F,18,6,123,2,2,0,3,1,4,4,4,0,0
F,35,6,502,2,3,5,2,2,0,4,5,5,4
F,25,4,875,1,4,3,3,2,1,4,5,4,5
M,45,11,190,4,2,4,0,1,5,3,4,0,3
M,45,9,809,4,1,0,3,0,1,4,0,0,4
F,25,13,30,5,3,3,0,0,5,0,5,0,1
