Gender,Age,Occupation,ZIP-code,260,1097,1750,2021,2093,2105,2628,2968
F,25,14,590,1,3,5,1,5,2,0,3
M,45,5,616,3,1,0,0,0,4,2,0
F,25,20,346,5,4,0,5,0,2,1,3
F,25,9,970,5,1,3,1,4,1,0,5
F,56,19,489,1,3,3,5,2,4,0,2
M,50,14,547,5,0,0,3,3,0,0,4
F,25,7,181,5,1,5,5,0,3,2,5
M,50,10,88,5,4,5,4,4,0,0,0
M,18,16,240,5,4,0,3,0,3,1,1
M,50,12,627,5,1,3,0,3,2,1,2
M,1,18,894,0,1,3,4,4,4,4,4
M,18,3,623,0,4,0,3,3,3,0,4
M,35,0,720,1,4,3,5,0,2,1,2
F,1,20,834,1,3,0,0,0,0,2,4
M,56,18,820,5,5,3,0,0,3,4,2
M,45,15,66,4,4,3,2,0,5,1,5
M,1,14,914,3,4,2,1,1,4,5,0
F,45,12,80,3,2,2,5,3,1,0,4
M,50,1,522,1,0,0,3,0,3,3,0
F,45,16,627,2,5,1,2,2,0,0,2
M,25,14,215,4,2,0,0,0,2,4,4
F,18,2,875,5,2,0,2,1,2,0,1
M,45,8,802,0,3,5,2,4,3,1,0
M,18,7,279,4,3,0,0,0,0,3,5
M,35,9,554,5,4,2,0,5,2,0,3
M,25,8,480,3,1,0,0,0,0,0,0
M,18,14,282,1,2,2,1,3,4,5,1
M,56,5,906,4,5,4,1,5,0,4,2
M,35,4,24,5,0,1,0,0,5,4,5
F,50,12,501,3,0,3,0,0,0,1,2
F,1,2,610,5,0,3,0,3,3,0,5
M,50,17,181,0,3,5,3,0,3,0,4
M,25,9,786,1,0,3,5,3,0,0,5
F,25,3,181,2,3,2,1,1,5,3,0
M,56,20,658,5,0,0,0,0,0,3,0
M,25,15,616,0,1,0,0,0,4,3,0
M,56,8,321,3,0,1,0,3,2,3,0
M,1,3,863,5,3,5,0,4,3,0,4
F,18,19,641,1,3,0,3,4,0,4,4
M,50,5,765,3,3,4,1,1,2,3,1
F,25,11,530,5,4,0,0,0,3,0,4
M,45,8,301,3,2,0,2,1,0,4,5
M,56,9,287,1,1,3,5,3,5,0,5
M,56,19,307,5,0,2,0,4,3,2,4
M,18,8,41,5,5,0,3,3,0,0,3
M,45,19,878,1,4,5,3,5,5,3,5
M,50,17,942,1,5,3,2,0,0,4,4
F,56,15,610,3,3,2,5,4,3,5,4
M,56,17,287,4,0,4,0,0,5,1,4
M,1,19,547,2,5,5,0,0,2,2,3
M,45,9,406,1,2,0,4,3,2,0,0
M,25,7,406,2,4,4,1,2,4,0,0
M,18,4,143,4,5,4,4,0,0,4,1
F,50,6,148,5,1,0,5,2,2,0,0
M,25,10,90,3,1,1,0,4,0,0,0
M,56,20,436,4,1,0,4,0,5,3,1
M,50,18,13,0,1,5,4,3,4,4,4
F,45,18,580,3,2,0,4,0,0,0,0
M,56,8,972,0,2,1,2,4,0,0,1
M,25,9,601,0,4,1,3,5,0,0,2
M,18,1,708,5,2,0,0,0,5,4,0
M,1,17,442,5,0,0,0,0,5,3,1
M,18,7,235,5,1,2,3,4,5,2,3
M,50,4,758,5,4,0,0,4,2,0,3
M,25,12,297,5,5,0,0,0,2,3,1
M,18,5,338,0,1,0,0,4,2,3,4
M,1,5,77,0,3,3,2,5,1,4,2
M,25,0,847,5,2,0,4,5,1,4,3
F,18,0,928,5,0,0,0,0,5,4,5
M,56,20,758,1,1,1,1,3,3,5,0
F,25,5,378,0,5,0,4,0,3,5,1
F,25,18,836,5,0,4,4,0,4,0,0
M,35,15,132,5,1,0,0,0,0,0,3
M,25,7,300,4,4,0,0,0,2,3,4
F,50,20,600,1,0,4,3,3,2,0,0
M,25,3,209,5,0,3,0,4,3,3,0
M,56,9,328,5,1,3,1,5,2,1,2
F,35,14,616,5,0,1,4,0,5,2,3
F,1,14,765,1,4,3,3,1,5,1,0
M,56,17,131,5,4,1,0,0,5,3,4
M,50,16,809,4,3,3,1,5,5,5,1
F,50,7,582,5,4,3,0,0,5,1,5
F,45,6,131,5,4,3,2,2,1,4,1
F,18,4,437,3,1,5,5,3,5,5,4
F,25,20,286,5,4,3,2,0,2,0,4
F,56,12,330,4,2,1,4,1,5,3,4
M,25,15,493,1,4,5,3,2,1,4,3
M,25,10,132,5,5,5,2,5,3,5,2
M,35,6,563,5,4,2,5,3,0,4,0
M,18,13,272,3,0,2,5,2,0,0,0
M,1,15,336,3,4,1,5,3,0,5,3
F,56,11,522,3,3,3,4,0,0,1,3
M,25,0,493,4,2,0,4,0,2,2,2
M,50,20,485,5,4,0,5,4,5,0,3
M,18,10,165,4,1,0,0,0,3,0,0
F,50,2,123,2,3,3,4,0,1,2,3
M,50,20,985,4,2,0,2,0,1,5,2
F,45,7,551,4,0,1,0,3,2,1,1
M,56,18,582,0,2,1,2,0,4,4,4
M,1,5,815,3,2,0,0,0,3,1,3
F,50,2,655,1,5,5,5,0,3,4,2
M,50,4,132,5,3,0,0,0,2,4,3
M,25,4,498,2,4,3,0,4,0,2,0
F,35,4,53,3,4,4,2,0,3,2,3
F,56,20,805,0,3,3,0,3,0,4,4
M,45,14,104,4,0,0,5,2,0,5,3
M,45,18,64,5,2,5,3,0,2,4,4
M,25,16,287,2,4,0,3,2,5,2,0
M,35,3,331,1,4,3,5,0,5,0,4
M,50,12,700,4,0,2,0,0,2,1,0
M,1,4,495,4,2,1,0,0,5,0,4
F,1,3,752,5,2,0,3,0,5,4,2
M,56,14,640,3,3,0,3,0,0,4,0
M,25,13,307,1,3,0,4,3,4,5,2
M,50,9,674,2,4,0,3,0,5,3,2
F,18,2,277,5,5,5,0,0,2,3,3
F,1,14,777,2,3,0,3,4,0,1,0
F,50,17,933,3,5,0,4,5,5,3,0
M,25,13,127,2,3,1,4,5,3,1,5
F,50,13,329,2,0,0,4,2,0,0,2
M,18,12,142,5,4,0,0,0,1,1,3
M,1,15,744,3,2,0,0,5,0,0,0
F,56,13,597,1,2,0,3,0,0,4,5
F,35,10,170,5,1,5,2,0,4,4,4
M,35,14,466,1,5,4,1,5,4,0,4
F,35,9,445,5,4,5,5,2,2,1,0
M,25,0,680,5,3,0,0,0,3,3,3
M,1,6,309,5,4,5,4,5,4,0,1
F,50,10,431,1,0,1,3,0,0,0,3
M,56,6,775,1,1,2,3,4,4,4,2
M,56,9,223,2,3,3,4,3,4,0,2
F,50,14,81,3,0,3,2,0,3,2,0
F,35,15,325,1,4,0,5,2,3,5,0
F,45,7,833,5,5,3,2,1,0,4,3
M,25,14,970,0,1,0,0,0,2,3,4
F,1,8,596,3,1,0,5,0,2,3,2
M,25,6,700,1,4,5,2,0,3,1,0
M,45,3,88,1,5,5,5,2,0,0,3
F,50,0,327,5,2,0,2,1,3,0,2
M,56,1,417,5,0,5,0,0,2,3,4
F,45,12,442,5,0,0,1,2,4,5,2
F,1,4,396,4,2,3,5,3,4,0,4
F,18,17,433,5,1,2,0,0,0,4,0
M,35,12,974,3,3,0,1,4,2,0,4
M,56,17,597,1,2,5,0,1,0,1,3
M,18,1,925,1,3,0,3,0,1,5,4
F,35,4,209,5,0,0,0,0,5,0,4
F,45,6,454,5,3,2,4,5,0,0,3
M,56,14,53,4,0,5,5,2,2,4,1
M,25,13,937,0,0,0,1,3,1,4,3
F,56,16,799,2,4,2,2,5,4,3,5
M,25,14,142,2,2,5,4,5,5,2,3
M,1,7,63,1,5,0,2,0,1,5,0
M,50,9,905,5,5,0,0,4,3,4,3
M,56,6,924,5,5,0,2,5,0,4,3
M,56,8,944,5,2,3,2,4,2,5,5
M,45,6,122,4,0,0,1,0,0,4,0
F,18,10,98,5,4,0,0,0,3,5,2
M,35,7,436,5,4,4,0,0,4,2,4
F,56,12,290,4,1,2,2,0,2,1,0
M,18,20,640,5,5,1,0,0,4,0,2
F,18,5,38,5,1,0,0,0,3,3,0
F,1,19,15,5,2,0,2,5,1,2,0
M,50,10,720,4,4,0,1,1,0,5,1
M,35,17,336,1,4,0,4,5,0,4,2
F,50,5,402,1,4,5,1,3,3,2,0
M,1,19,841,0,3,0,5,4,2,0,0
M,25,0,171,5,4,5,0,0,0,1,3
F,50,19,527,5,5,0,5,3,4,4,0
F,25,2,744,3,2,0,0,0,0,2,0
F,25,9,915,5,5,0,0,4,3,4,0
M,25,12,222,3,4,0,0,0,2,0,0
F,50,13,460,1,1,0,4,0,5,2,4
M,1,1,875,3,2,0,1,5,0,5,1
F,56,5,88,4,1,0,4,5,5,4,1
M,50,14,801,1,1,3,3,4,2,4,2
F,35,4,489,5,1,0,0,0,0,1,5
F,18,2,815,5,4,0,0,2,3,0,2
M,25,4,53,5,0,0,2,4,3,4,0
F,25,14,895,5,1,5,5,4,1,5,3
M,25,17,495,3,2,0,0,0,2,0,0
F,35,6,345,4,5,3,2,5,4,3,1
M,25,8,531,4,3,3,0,5,0,3,5
F,50,19,63,4,1,2,2,5,1,0,5
F,50,4,610,5,2,5,4,0,0,4,1
M,1,7,535,1,0,4,2,5,0,5,3
M,25,12,131,3,1,0,2,0,4,3,0
M,18,7,590,4,0,4,0,4,5,0,3
M,1,3,802,0,4,3,2,1,5,0,2
M,18,1,198,3,1,5,4,0,0,5,1
F,1,2,170,5,0,3,2,5,3,5,2
M,25,5,915,3,0,1,0,0,0,2,0
F,35,19,114,2,1,0,4,5,1,4,2
F,25,11,933,3,5,0,0,0,0,2,0
M,18,12,303,5,1,0,0,0,0,0,4
M,50,4,236,0,0,3,0,0,1,4,4
F,45,5,131,4,5,3,2,2,1,3,3
M,1,7,282,5,0,2,0,0,3,3,2
F,50,2,612,0,2,0,3,0,5,5,4
M,25,20,662,4,3,0,4,0,0,5,0
M,35,0,56,0,2,4,1,2,4,0,0
F,50,12,285,5,1,3,4,2,2,3,5
F,25,20,943,3,2,0,0,4,0,4,1
M,45,8,488,5,4,2,4,1,2,5,4
M,25,13,244,5,2,3,5,3,2,2,3
F,45,7,150,4,3,0,1,1,5,1,5
M,18,0,140,0,1,5,0,0,5,4,3
M,18,10,895,3,5,4,1,5,5,0,2
M,45,0,601,4,1,1,1,0,2,2,2
M,35,17,640,1,3,0,2,0,1,1,2
F,1,11,465,3,5,0,2,0,0,4,2
M,50,20,465,1,2,3,4,1,4,4,2
F,25,11,143,4,2,5,3,3,3,0,3
M,18,11,801,3,4,3,0,0,5,3,4
F,50,15,78,4,1,2,3,3,2,3,5
M,18,11,756,5,3,0,4,0,5,3,1
F,18,12,590,0,5,2,0,4,5,1,0
M,35,13,625,5,1,0,0,0,4,3,0
M,35,2,144,2,3,2,5,3,1,0,1
F,1,7,358,5,5,0,5,3,0,4,2
M,56,4,325,5,4,0,0,0,0,0,4
M,18,5,720,5,2,4,5,2,3,1,2
F,56,16,954,4,0,0,5,3,1,5,1
F,45,18,815,5,5,0,2,0,4,3,4
M,25,7,193,2,0,0,4,2,3,0,0
F,25,20,726,2,3,0,0,3,2,3,3
M,18,6,244,3,5,0,2,0,1,5,5
M,25,6,17,5,5,0,0,0,4,3,5
F,18,3,432,1,4,1,3,3,0,3,0
F,50,15,672,4,2,0,1,5,5,4,0
M,18,0,925,5,3,5,0,0,5,2,0
F,1,11,953,0,5,0,0,0,5,5,0
F,25,18,40,5,2,2,0,3,0,3,3
M,56,1,307,0,4,0,1,0,0,4,2
F,56,2,550,3,0,4,4,0,3,2,3
M,18,0,323,3,0,0,2,2,0,0,2
F,50,4,165,1,2,0,3,0,0,0,2
F,25,4,549,4,2,2,5,3,5,3,2
F,45,14,22,0,4,1,3,4,1,4,0
M,56,11,290,0,2,1,0,0,1,0,4
M,56,7,630,2,5,4,0,0,2,3,5
F,35,5,558,3,5,0,4,3,4,0,0
M,56,10,330,4,1,5,0,0,0,3,4
M,35,15,336,0,4,3,3,0,0,3,5
M,45,14,826,3,0,2,5,2,4,2,4
M,56,1,843,5,0,1,2,5,3,5,1
M,56,6,495,2,5,1,2,5,0,5,3
F,25,9,432,1,1,2,1,2,0,2,0
F,56,12,103,3,1,0,2,0,0,2,1
M,18,4,424,1,3,3,3,0,2,0,0
F,25,11,928,4,1,2,3,0,0,1,1
F,45,14,983,3,0,5,4,0,3,0,3
F,50,16,122,5,4,0,5,2,1,5,1
F,18,4,378,0,5,0,1,3,0,0,4
M,25,13,405,3,4,2,5,3,0,2,5
M,50,7,19,5,3,1,3,4,5,3,4
M,35,5,361,5,4,3,4,3,2,3,0
M,25,4,300,5,2,0,1,0,4,0,1
M,18,1,658,4,3,5,3,2,0,4,3
M,1,7,361,1,1,0,4,5,1,1,3
M,50,8,212,1,3,3,3,0,2,5,4
M,18,8,272,0,5,3,0,5,3,0,3
M,50,16,466,3,5,0,2,0,2,2,0
F,18,14,410,0,4,1,0,5,0,0,4
M,56,12,584,5,3,0,1,5,5,2,3
M,45,5,612,5,0,4,2,5,5,5,5
M,56,18,924,4,4,0,3,4,1,0,5
M,18,18,361,5,4,0,1,0,3,5,4
M,45,4,532,3,0,0,2,2,3,2,3
M,35,19,265,5,3,0,0,3,2,0,2
F,56,15,799,5,0,2,3,2,4,2,1
F,25,18,48,0,5,4,0,0,4,5,0
F,1,20,833,2,1,0,1,1,3,4,2
M,56,17,462,0,4,5,3,4,1,4,3
M,1,11,180,3,1,1,0,0,0,1,1
F,56,12,274,0,3,5,0,3,4,3,0
M,1,12,640,0,3,3,2,5,0,5,2
M,1,17,765,2,2,2,3,3,4,3,3
M,1,4,421,0,4,2,4,2,0,0,3
F,50,11,853,4,4,2,4,5,2,1,0
M,35,17,957,3,0,3,0,0,5,0,3
M,25,9,534,3,3,0,5,4,2,0,5
M,56,17,946,3,1,2,1,1,3,5,1
M,18,4,88,0,0,1,0,0,0,4,3
F,50,15,641,5,4,2,1,5,2,4,1
M,35,4,631,5,4,0,0,0,0,0,0
M,25,2,277,0,1,3,0,1,0,2,1
M,50,17,274,1,1,0,2,0,5,4,4
M,18,20,577,5,3,3,2,5,0,2,3
M,56,18,338,5,3,0,0,4,1,2,3
