Gender,Age,Occupation,ZIP-code,673,810,1073,1126,1702,2100,2174,2253,2797,3393,3466
F,18,17,146,1,0,3,3,2,3,4,1,3,1,4
F,18,16,381,3,4,5,4,4,1,2,5,5,5,2
F,18,17,610,5,3,2,5,3,0,4,0,0,0,5
F,18,10,581,1,0,4,4,3,5,2,1,1,2,0
M,25,13,347,1,0,3,1,0,3,4,3,0,4,0
F,45,20,618,5,3,3,3,4,2,3,4,1,2,1
M,1,6,290,1,1,3,5,0,0,4,2,5,5,0
M,50,16,532,5,2,3,3,4,0,1,0,4,1,4
M,25,15,459,0,0,4,4,4,2,0,2,5,5,0
F,50,8,50,0,1,2,0,0,1,0,1,1,5,2
F,35,12,726,1,0,3,1,3,1,5,4,1,4,4
F,56,14,89,2,2,1,3,0,0,3,3,4,5,0
F,50,14,672,3,2,3,4,4,4,4,0,0,5,0
M,25,9,175,5,3,0,1,4,2,1,1,2,1,0
M,50,13,292,3,2,2,5,3,2,2,2,0,4,1
M,25,7,482,0,0,4,0,4,0,0,0,3,0,0
F,50,2,212,0,0,1,2,3,3,0,5,4,0,3
F,35,11,458,0,0,0,3,1,0,4,5,5,5,5
M,35,4,461,0,0,3,4,0,4,4,5,4,0,0
M,35,11,495,0,0,3,2,0,0,3,0,0,0,0
M,25,12,149,1,0,4,2,0,0,3,0,3,0,3
M,1,11,431,5,2,1,3,1,1,3,4,4,5,3
M,18,3,559,1,1,0,5,0,0,0,5,4,0,0
M,56,17,603,0,0,0,5,4,3,3,1,4,0,3
F,50,6,40,1,2,5,2,0,2,3,2,2,3,5
F,25,1,633,0,3,3,4,2,3,0,0,5,4,5
M,45,12,103,0,0,0,4,3,1,4,0,5,3,0
M,50,14,328,2,0,3,0,1,0,4,0,4,0,0
M,25,12,681,2,1,4,5,0,5,3,0,5,0,0
M,56,19,325,2,2,2,0,0,4,3,0,2,5,0
M,50,3,82,5,0,5,2,0,0,0,0,0,0,4
M,25,14,988,1,1,3,5,0,2,1,1,2,2,3
M,50,17,958,3,2,1,0,1,3,2,5,2,5,0
F,1,0,221,0,0,3,5,2,5,0,0,5,2,5
F,45,7,826,0,0,2,2,0,5,4,3,0,0,0
M,50,20,495,0,1,5,3,0,0,5,5,5,0,1
M,18,13,191,0,0,0,1,0,0,5,0,4,0,0
M,25,9,685,0,0,2,5,1,1,5,4,5,3,0
F,25,2,484,5,2,2,0,0,4,3,2,5,1,0
M,25,13,596,3,4,3,1,0,0,0,0,4,2,0
M,18,14,326,0,0,5,0,3,0,2,1,0,1,0
