Gender,Age,Occupation,ZIP-code,247,885,1097,1654,2086,2138,2872
F,18,17,878,5,2,2,0,5,2,3
F,18,16,440,2,1,3,0,5,1,4
F,18,17,280,4,0,0,3,2,1,0
F,18,10,60,2,0,5,2,2,0,4
M,25,13,841,3,2,0,0,0,0,0
F,45,20,346,0,0,5,0,5,2,3
M,1,6,539,1,0,2,0,0,0,0
M,50,16,524,0,5,2,1,3,5,4
M,25,15,80,5,0,2,0,4,4,0
F,50,8,630,0,0,0,2,5,3,5
F,35,12,954,0,1,0,2,0,2,5
F,56,14,130,0,0,3,1,4,2,0
F,50,14,900,5,2,2,5,5,0,0
M,25,9,750,2,3,2,5,0,0,2
M,50,13,10,2,3,2,0,0,3,2
M,25,7,937,4,0,0,1,3,2,0
F,50,2,209,2,0,4,1,0,0,3
F,35,11,837,1,2,3,3,4,0,0
M,35,4,361,2,0,5,4,0,4,0
M,35,11,495,5,5,5,2,0,0,2
M,25,12,331,2,0,5,0,0,2,4
M,1,11,794,5,2,3,3,2,3,1
M,18,3,685,0,4,3,2,0,0,0
M,56,17,452,0,1,1,0,2,0,4
F,50,6,382,2,0,5,2,3,0,2
F,25,1,997,3,0,4,0,4,2,0
M,45,12,708,1,0,4,0,0,0,4
M,50,14,292,4,0,4,0,4,0,0
M,25,12,973,0,2,5,4,5,5,0
M,56,19,895,0,5,1,5,0,1,0
M,50,3,775,0,4,0,0,2,0,0
M,25,14,16,3,1,2,2,2,0,3
M,50,17,109,2,0,3,4,5,0,3
F,1,0,530,1,0,0,2,0,5,4
F,45,7,584,4,5,1,0,0,1,0
M,50,20,937,2,0,5,0,0,0,1
M,18,13,483,5,0,5,4,0,0,2
M,25,9,904,3,0,4,0,0,4,4
F,25,2,10,0,1,1,2,4,3,3
M,25,13,253,0,0,2,5,2,2,5
M,18,14,852,0,1,3,2,0,5,5
M,56,16,265,2,0,4,4,4,4,3
M,18,14,111,5,4,0,5,0,3,3
M,35,16,980,0,0,3,0,2,2,0
M,56,6,114,4,5,4,2,5,3,4
M,50,17,42,1,0,5,0,0,0,0
M,1,19,61,2,0,3,0,4,0,3
M,18,6,113,5,4,4,0,0,2,3
M,25,15,292,0,1,4,0,4,1,0
M,25,0,752,0,0,3,0,4,0,0
F,1,2,601,3,4,3,0,0,3,3
F,1,20,764,2,4,2,2,5,0,2
F,45,5,623,4,1,1,0,4,0,0
F,25,9,481,2,5,1,0,0,2,0
F,18,16,549,3,3,4,0,0,0,5
F,56,12,727,0,0,5,2,3,5,4
F,35,17,100,5,5,2,4,0,2,5
F,1,2,325,4,1,4,4,0,0,3
M,56,3,424,2,2,1,5,0,0,0
M,25,2,751,1,3,3,4,0,0,0
M,35,0,915,0,3,4,0,0,0,0
M,50,3,15,3,0,5,0,2,2,2
M,25,14,902,0,0,4,2,5,0,0
F,45,12,616,4,0,5,3,0,4,0
M,25,2,813,5,0,1,5,4,0,0
M,56,17,27,2,5,4,0,5,4,5
F,35,17,166,0,1,1,5,2,0,4
F,18,10,850,0,0,5,0,0,5,4
M,18,13,100,5,4,5,5,0,1,0
F,56,0,27,5,0,5,0,4,2,4
F,25,7,662,0,0,5,2,0,0,0
M,35,14,26,3,0,4,0,0,0,0
F,18,13,215,4,1,0,0,2,0,1
M,25,12,616,5,5,4,0,0,3,0
M,18,7,274,2,0,0,2,0,3,0
M,45,5,705,0,0,4,0,0,0,2
F,45,5,326,0,0,4,2,4,0,4
M,18,15,880,2,0,4,2,2,0,4
M,25,20,64,0,0,0,2,0,5,0
M,18,3,559,0,0,0,0,4,1,0
F,25,4,731,3,1,5,0,0,3,2
M,18,4,535,3,0,5,4,4,0,0
F,25,1,22,0,3,2,2,4,0,4
F,35,15,940,0,0,0,0,4,0,0
F,56,0,431,2,3,1,2,4,5,0
