Gender,Age,Occupation,ZIP-code,673,1881,1920,2087,2138
M,56,8,672,1,0,1,4,0
F,50,6,50,0,0,1,0,0
F,25,7,64,1,3,2,2,0
M,18,5,847,0,0,0,0,0
M,56,6,447,0,0,0,0,0
M,45,11,240,0,1,1,0,4
F,1,1,284,0,3,3,0,0
M,35,15,376,0,0,0,0,2
M,56,3,815,2,0,2,0,0
F,56,8,338,0,0,0,0,0
M,18,16,672,1,4,1,4,0
F,18,20,186,4,0,0,0,1
M,25,14,447,3,0,3,3,0
F,50,10,905,4,5,0,0,1
F,50,7,165,2,0,4,3,0
M,25,1,473,0,0,3,0,0
F,45,20,307,3,3,2,0,4
M,25,14,627,5,2,2,1,2
F,45,4,947,5,0,0,2,0
M,1,18,23,0,5,5,3,1
M,35,20,337,0,1,0,5,0
F,1,18,969,0,0,1,0,0
F,25,2,481,0,0,5,3,0
F,18,2,143,0,1,0,4,0
F,18,18,127,2,3,1,0,0
M,56,3,924,4,0,0,3,0
F,1,19,280,0,0,0,5,5
F,35,2,770,5,3,0,2,0
M,45,9,277,3,1,3,1,2
F,35,5,190,0,0,0,4,0
F,50,3,433,1,0,2,0,0
M,56,10,212,0,0,2,0,0
M,45,17,262,2,4,5,5,0
M,35,16,705,3,0,3,4,5
M,35,5,132,2,1,4,3,5
F,35,14,852,4,3,0,0,0
F,35,11,809,0,0,0,3,1
M,50,3,972,0,0,3,4,2
M,18,10,322,0,0,0,5,3
M,56,16,815,3,0,0,3,0
F,56,8,430,3,3,4,3,2
F,50,16,986,0,1,0,3,3
F,18,19,481,0,5,0,0,0
M,25,11,940,5,0,2,4,3
F,56,8,847,1,0,0,4,0
F,25,17,465,4,0,0,0,0
F,45,9,222,2,0,4,5,4
M,25,1,987,5,0,4,3,3
M,56,12,906,0,0,5,3,4
M,1,19,432,5,0,5,0,0
M,50,11,701,0,1,1,0,3
F,50,8,12,5,1,5,5,1
M,18,12,132,0,3,2,4,3
F,25,7,853,0,2,4,0,0
F,35,9,843,3,0,5,1,0
F,45,18,942,0,0,1,1,2
F,45,18,90,4,0,0,4,4
M,18,18,809,1,0,0,0,0
M,50,18,914,5,0,0,4,0
F,18,4,834,1,0,5,5,5
F,56,0,223,3,4,3,1,4
F,18,4,10,2,0,5,4,0
F,18,16,140,0,0,0,3,1
F,1,19,354,5,0,0,5,0
F,50,18,302,0,3,0,2,3
F,25,0,770,5,0,0,5,0
F,25,0,122,0,1,1,0,0
F,18,10,122,4,0,0,0,0
F,50,18,970,0,3,1,3,5
F,35,18,525,0,4,0,3,3
F,45,20,140,0,5,0,3,5
F,18,13,105,0,5,0,5,1
F,18,16,171,5,5,3,2,3
F,50,7,69,2,1,1,2,2
F,56,19,520,1,3,0,0,0
F,56,1,322,0,0,3,2,0
M,50,20,582,5,0,0,5,4
M,35,19,6,4,3,0,0,0
M,50,20,148,4,0,3,0,5
F,50,9,856,1,0,0,0,0
F,18,7,743,5,3,0,4,2
M,35,2,787,1,0,3,5,0
F,25,7,471,2,5,0,0,0
F,18,16,923,2,2,2,0,4
F,1,6,815,3,1,0,4,5
F,50,18,793,0,0,1,0,0
F,18,13,56,0,2,0,4,3
M,56,6,181,3,0,2,3,0
F,35,2,297,3,0,0,5,5
M,1,0,481,3,0,3,0,0
M,18,8,235,2,5,3,2,0
F,18,20,802,2,3,0,3,1
M,1,15,655,2,3,3,4,0
F,18,17,175,5,4,4,5,0
F,18,7,178,0,3,0,0,1
F,25,0,262,1,0,1,0,1
F,50,18,161,0,0,0,0,4
M,35,9,847,0,0,0,0,5
F,25,0,421,0,0,0,0,3
F,1,3,993,3,0,0,2,5
F,18,4,12,0,0,0,0,0
M,45,4,253,5,0,1,1,4
M,1,12,522,3,5,2,4,0
F,18,4,103,1,3,0,5,2
M,56,9,89,3,0,2,5,3
M,50,18,105,2,0,0,4,0
F,18,16,207,0,0,2,3,0
F,18,20,446,2,0,3,2,0
M,35,7,431,2,3,0,4,0
M,56,13,553,0,4,0,0,2
M,56,10,294,5,4,0,1,0
F,1,16,13,3,3,0,4,0
F,25,7,603,5,0,1,4,0
F,25,17,301,0,0,3,5,0
F,18,12,534,1,0,4,0,0
M,35,9,941,5,0,2,4,5
F,1,14,982,2,4,0,4,2
M,18,20,370,0,0,0,0,0
F,18,10,30,0,0,2,0,0
F,56,7,452,0,4,0,0,4
M,25,14,631,0,0,0,0,0
M,1,13,826,0,1,0,0,3
M,25,17,850,0,4,1,0,1
F,18,20,201,3,0,3,5,0
F,35,9,799,0,0,0,3,0
F,25,4,805,5,3,0,0,4
M,25,17,379,5,0,3,0,0
M,18,19,224,3,3,3,0,3
F,56,1,891,1,5,0,0,1
F,35,18,790,0,3,0,3,0
F,25,1,210,1,0,1,4,2
M,18,16,63,5,0,4,0,0
F,18,16,209,0,0,0,2,0
M,35,5,473,3,0,0,0,0
M,56,10,871,4,0,2,4,0
F,56,19,223,5,5,0,1,5
F,35,8,450,1,3,3,5,0
F,1,1,990,4,5,0,0,0
M,50,16,362,3,0,0,0,0
M,45,5,15,0,5,4,0,1
F,35,17,982,0,1,3,4,4
F,1,16,48,0,0,1,1,0
M,50,8,337,5,1,0,5,3
M,25,11,991,5,5,1,3,0
M,45,12,208,5,1,2,2,5
F,35,7,802,1,0,0,4,0
F,56,8,965,4,3,2,3,0
M,35,5,801,0,0,0,0,0
M,1,2,323,2,0,1,4,0
F,25,12,206,5,0,1,0,0
M,56,13,110,0,0,3,0,3
F,25,0,109,2,1,1,3,3
M,1,19,793,2,1,1,0,3
F,18,20,465,1,3,0,3,5
F,18,4,354,0,0,4,0,5
M,25,16,282,0,4,0,0,4
F,45,4,495,2,2,4,2,5
M,25,2,580,0,0,2,4,1
F,56,16,338,0,5,0,4,1
F,45,20,601,4,1,4,0,0
F,50,1,618,2,0,2,5,0
F,56,8,793,0,0,0,0,4
F,25,7,957,2,0,0,0,0
F,45,1,273,1,0,0,3,5
M,50,7,22,3,5,5,0,0
M,50,18,285,5,0,0,3,3
F,25,14,853,0,0,0,0,0
M,45,6,605,1,1,0,4,3
F,50,20,321,0,0,3,3,4
F,25,11,347,0,2,0,4,0
F,50,2,323,1,0,0,3,0
M,35,17,761,0,0,0,0,1
M,35,1,81,2,2,0,3,2
M,50,18,402,1,0,1,0,0
M,25,4,118,5,0,0,2,1
F,18,12,740,2,2,3,4,2
F,50,18,178,0,0,5,4,3
M,25,16,457,0,3,0,0,1
F,1,19,836,1,5,1,4,3
F,25,2,975,4,0,1,0,0
F,35,2,942,0,0,3,1,0
M,35,15,704,0,0,0,4,0
M,35,15,992,0,1,3,5,0
M,18,10,604,0,0,0,0,5
M,45,17,681,2,2,0,3,0
F,50,18,98,5,3,0,3,0
M,56,3,850,4,0,0,5,3
F,56,14,554,0,0,0,0,0
M,35,20,969,3,0,0,0,0
M,35,2,274,1,0,5,4,4
M,25,1,987,5,3,0,2,4
M,25,16,108,0,0,0,0,1
M,45,20,523,5,0,5,4,0
M,18,4,131,4,0,1,5,0
F,50,7,549,1,4,0,4,0
M,35,2,793,2,4,3,0,0
M,18,4,826,0,4,1,0,1
F,1,12,466,4,2,4,5,3
M,56,18,85,0,0,4,1,0
M,56,12,987,0,2,5,5,0
F,25,16,751,5,3,1,5,0
M,56,10,89,0,5,0,5,2
M,18,20,797,5,0,0,0,0
M,1,0,297,0,0,1,5,3
F,35,19,114,3,0,0,3,5
F,18,15,977,1,2,2,4,4
F,25,0,111,3,2,0,3,1
M,25,4,98,0,3,0,3,2
M,35,14,76,0,1,0,2,3
F,25,0,972,1,0,0,4,4
M,1,19,88,3,2,4,5,3
M,18,10,939,4,5,2,4,3
F,56,3,354,2,2,0,4,5
