Gender,Age,Occupation,ZIP-code,673,810,1073,1126,1702,2100,2174,2253,2797,3393,3466
F,25,15,582,2,2,1,0,3,4,5,1,0,0,3
F,18,7,327,4,4,2,5,4,4,0,2,0,4,3
M,50,4,354,1,2,4,2,1,1,5,4,1,2,0
M,56,1,950,4,4,1,0,0,1,4,3,4,0,0
M,25,10,284,0,0,4,0,0,0,3,5,4,0,0
M,18,2,221,4,3,0,4,1,0,4,4,1,5,0
M,45,4,622,1,2,2,4,4,3,5,4,2,0,0
F,18,8,794,3,3,0,5,0,1,2,2,4,5,0
M,35,17,22,2,2,0,5,4,2,2,1,3,0,3
M,25,2,433,1,0,1,0,0,4,0,2,0,0,0
M,56,18,770,1,4,2,0,5,2,2,4,4,0,0
M,56,16,104,1,2,1,1,1,0,0,3,2,5,3
F,50,19,799,0,0,1,1,3,1,0,2,2,4,2
M,25,15,234,0,0,4,1,2,0,1,3,0,0,1
F,25,14,371,4,3,0,0,5,5,0,0,4,0,0
F,18,19,544,0,0,3,4,0,1,2,0,0,2,0
M,45,8,417,0,0,5,0,3,0,0,0,0,0,4
M,50,3,613,1,4,0,1,5,2,3,1,4,0,0
F,45,13,79,1,2,1,4,5,0,4,4,4,0,3
M,18,6,933,4,2,4,0,3,4,1,2,2,0,2
M,25,19,833,2,0,4,0,0,0,2,0,4,0,0
F,50,8,166,2,3,5,4,1,0,5,4,1,2,2
F,18,2,307,5,3,5,1,3,4,2,2,1,1,4
F,18,20,193,4,3,1,0,0,5,4,1,5,0,4
M,50,19,833,0,0,0,0,0,0,0,0,0,0,0
M,35,15,947,0,4,4,2,5,2,2,0,5,2,3
M,56,0,674,3,3,4,2,0,0,5,0,2,0,0
F,50,14,992,5,3,3,4,1,0,3,1,4,2,5
F,45,8,186,3,0,5,1,0,0,4,5,0,0,0
M,18,2,957,0,0,1,1,0,4,1,2,3,0,4
M,25,16,731,0,0,0,5,0,4,2,4,5,0,0
F,50,5,912,4,2,0,0,3,5,2,1,4,5,4
M,1,15,743,2,2,0,3,2,3,4,2,1,4,2
F,56,1,234,1,1,1,0,1,3,3,5,4,0,5
M,45,16,577,1,0,4,1,1,3,4,1,5,4,0
M,35,15,431,0,0,5,1,0,5,0,1,3,2,0
M,1,8,985,0,0,0,4,0,0,4,4,0,0,0
F,35,15,74,0,0,0,0,0,4,4,0,0,0,0
M,18,9,229,2,3,1,0,1,4,2,2,0,0,0
F,56,19,773,2,4,1,4,5,1,5,3,2,2,3
M,25,1,240,4,2,3,3,1,0,2,0,2,0,1
M,25,20,306,0,0,3,2,0,4,5,0,0,0,0
M,18,19,549,0,0,3,0,0,0,4,2,2,0,0
M,25,15,947,3,3,0,1,0,0,2,2,3,0,0
M,18,2,796,4,0,4,0,5,1,2,0,0,0,3
M,18,5,481,4,2,4,5,0,2,0,0,3,4,0
M,35,0,841,5,3,3,0,1,0,4,2,2,0,5
M,45,17,30,0,0,3,2,4,4,0,0,3,0,3
M,35,8,109,0,0,4,1,0,3,4,1,2,2,0
F,45,8,21,5,0,0,0,0,0,2,0,4,0,0
F,25,4,193,3,3,4,2,1,3,2,0,5,4,0
M,45,5,376,0,0,5,2,0,4,0,5,5,4,0
F,18,10,972,4,0,4,2,0,0,0,1,1,2,0
M,25,15,880,4,2,2,2,4,5,4,4,2,2,5
F,50,20,466,3,0,0,0,0,0,2,0,3,0,0
M,56,12,15,0,0,0,0,0,3,3,0,3,0,0
F,56,0,880,0,0,0,4,0,0,5,0,4,2,0
M,35,0,111,0,0,0,0,0,0,2,4,0,0,0
F,25,5,447,4,1,4,3,2,3,3,4,4,0,5
M,50,11,402,4,3,4,0,0,0,0,1,1,5,0
M,45,17,618,3,3,3,0,4,0,4,0,2,0,2
F,45,10,744,4,0,4,5,0,1,5,2,1,4,4
F,1,15,38,1,0,4,2,0,4,0,5,5,4,0
M,25,0,103,0,0,5,1,0,4,0,0,4,0,0
F,25,5,600,3,1,1,4,0,4,2,5,3,0,0
M,45,7,396,5,0,0,2,5,5,3,4,4,2,3
F,50,8,136,4,2,3,5,2,3,4,4,0,4,0
F,1,8,633,3,0,0,4,5,0,3,0,1,2,3
F,18,4,557,0,0,5,5,2,3,4,0,2,4,3
M,18,16,328,4,1,5,1,0,4,3,2,3,0,0
F,50,0,78,2,0,3,4,0,0,5,0,1,2,0
M,56,19,62,0,0,0,5,0,1,2,0,0,0,0
M,35,2,770,2,3,4,0,5,2,3,0,2,0,3
M,18,14,622,0,0,5,0,2,3,2,5,4,0,3
F,25,16,956,4,2,4,0,4,1,1,2,4,0,3
M,35,19,303,0,0,0,3,0,4,0,0,0,0,0
M,18,12,486,2,0,5,4,0,5,5,2,5,2,0
F,25,5,799,4,3,4,5,3,5,0,5,5,4,1
M,35,12,833,2,2,4,2,4,5,5,0,1,4,3
F,56,11,421,4,4,4,0,3,5,5,4,2,0,3
M,35,6,940,4,2,1,0,4,3,1,4,5,2,3
M,35,14,26,0,0,0,0,5,5,4,0,0,0,3
M,18,3,900,2,3,2,2,3,4,4,0,2,1,0
F,1,4,701,1,0,0,2,0,0,0,0,0,5,0
M,1,0,943,3,3,4,0,0,3,0,0,0,0,0
M,50,11,346,3,3,4,0,3,5,1,5,3,0,4
M,35,17,787,4,2,3,0,4,3,4,2,2,0,3
M,35,19,70,0,4,5,4,5,1,2,2,1,5,3
M,18,5,973,0,0,2,2,0,2,3,2,5,2,4
F,18,8,923,0,0,1,2,0,1,2,2,2,4,0
M,35,0,372,0,0,4,3,0,4,2,0,3,0,0
M,35,14,112,0,0,0,2,0,0,2,4,2,2,0
M,35,7,928,4,1,5,5,0,4,4,2,1,4,4
M,18,4,354,0,0,4,1,0,0,3,5,4,2,0
M,45,8,744,5,1,0,0,2,2,5,3,2,0,1
M,56,16,381,1,0,4,1,0,3,3,1,4,0,4
F,56,11,24,4,2,1,5,4,3,1,4,0,4,5
M,18,7,813,0,0,0,0,0,0,3,0,4,0,4
F,45,9,244,1,1,5,5,0,4,4,2,0,4,0
F,50,0,911,0,0,3,4,0,0,5,0,3,4,0
M,35,0,437,0,0,5,0,0,4,4,0,5,0,0
F,56,0,946,0,0,4,3,0,0,2,0,0,0,0
M,25,12,123,0,0,3,0,0,4,1,0,5,0,4
M,45,20,18,3,1,3,5,0,4,2,1,5,4,0
M,1,3,701,2,1,3,2,0,4,0,1,0,5,4
M,1,18,974,1,0,4,2,5,2,3,5,5,2,1
M,56,16,970,5,1,1,0,5,1,5,5,3,0,3
M,18,6,143,0,0,1,4,2,3,1,2,5,2,2
F,18,17,770,0,0,0,1,0,4,2,0,4,0,0
M,18,5,49,0,0,5,0,0,0,0,0,4,0,3
M,18,14,141,0,0,1,5,4,5,1,2,0,0,5
F,50,2,993,0,1,5,5,0,4,4,2,3,0,0
M,18,6,431,4,2,4,3,1,2,3,4,1,0,5
M,18,8,915,2,0,4,4,3,3,1,1,0,1,1
M,45,4,554,4,2,1,5,4,5,4,3,1,4,5
M,35,4,540,0,0,5,2,0,3,0,1,4,2,0
M,25,17,895,2,2,1,3,0,2,0,1,4,5,0
F,18,9,705,4,0,5,2,0,0,4,1,1,2,0
F,50,15,484,0,0,5,2,0,4,5,5,5,2,0
F,25,12,68,1,3,0,0,1,0,0,2,4,0,0
M,50,16,993,0,0,4,0,5,5,5,5,3,0,3
F,35,18,773,1,4,4,1,4,4,3,1,3,0,3
M,50,13,331,1,1,5,0,4,1,4,2,2,5,3
M,45,4,758,1,2,5,5,3,4,4,0,3,4,1
F,35,4,80,5,0,1,0,0,2,4,2,5,0,0
F,1,20,22,2,4,1,1,5,2,2,3,4,0,3
F,45,7,915,0,0,4,3,0,3,0,0,5,0,0
F,25,20,181,0,0,4,5,0,4,2,2,1,1,0
M,45,2,81,0,0,0,0,5,0,5,0,4,0,3
M,1,0,987,2,2,2,1,2,0,3,2,5,5,1
M,18,4,22,0,0,0,0,0,0,0,2,4,0,0
F,25,11,652,4,0,4,4,0,0,0,1,1,3,0
M,56,7,157,1,0,0,0,0,5,1,5,0,0,4
M,45,16,630,0,1,3,1,0,0,5,0,5,5,0
F,35,4,171,0,1,4,1,0,4,0,2,3,2,0
M,18,16,540,0,0,1,0,5,2,3,2,0,0,0
M,18,6,939,4,3,2,1,1,4,0,5,4,0,0
F,18,9,951,4,2,0,4,2,4,4,0,0,4,2
F,18,9,362,3,1,0,2,2,2,4,4,4,2,4
M,18,7,461,0,0,4,0,0,0,4,0,0,0,0
M,25,19,319,0,0,0,0,0,3,2,0,0,0,0
M,25,1,900,0,0,4,0,0,3,5,0,4,2,0
M,35,14,805,0,0,4,0,2,3,0,0,0,0,1
M,1,9,990,4,0,4,3,0,3,3,4,2,0,0
F,25,17,313,2,3,3,0,4,0,2,0,0,0,3
M,35,18,405,1,2,1,3,3,5,4,3,2,5,4
F,45,14,358,1,1,0,0,1,3,3,5,4,0,3
F,35,4,790,2,2,2,2,0,2,0,4,4,2,0
F,56,6,69,5,1,3,2,3,2,0,0,4,4,3
F,35,16,282,3,3,4,2,1,0,2,4,4,4,0
M,50,8,460,1,1,2,0,4,1,0,2,2,5,1
M,35,8,74,0,0,5,5,0,3,4,0,4,2,4
F,35,20,253,4,1,2,5,0,3,2,4,1,4,0
M,35,2,358,1,0,4,0,5,5,4,0,4,0,3
M,50,11,993,0,1,4,1,4,1,0,4,1,4,5
M,18,3,793,1,1,0,1,3,0,0,0,0,0,3
M,18,2,100,4,2,5,0,5,0,1,0,2,0,3
F,56,2,450,3,0,5,0,0,4,4,1,4,0,0
M,45,13,327,0,0,1,3,0,4,4,2,0,0,0
M,18,4,302,1,0,1,3,0,4,4,2,0,0,4
F,45,5,483,0,0,0,0,0,4,0,0,5,0,0
M,35,20,458,4,3,0,4,0,5,1,3,1,0,0
M,56,9,325,4,3,5,5,1,4,0,4,1,4,3
F,18,16,942,2,0,5,1,0,5,3,3,3,4,0
M,1,14,803,0,0,5,3,0,0,5,5,4,0,0
M,35,20,992,0,0,0,0,0,3,0,2,0,0,0
M,18,3,474,1,0,0,3,5,0,0,4,2,5,3
M,25,14,770,5,1,3,5,2,3,4,1,3,0,1
F,45,8,937,5,0,1,1,0,4,4,1,3,2,0
M,18,2,726,0,0,2,0,0,0,3,0,2,0,0
M,35,12,434,0,0,0,0,5,0,3,0,0,0,3
F,56,4,652,0,0,2,0,0,3,0,3,5,0,0
M,45,11,457,0,0,2,2,0,5,1,1,4,2,0
F,56,5,484,0,4,4,4,5,2,2,3,2,5,3
F,25,17,991,2,1,4,2,2,3,4,0,4,5,5
M,25,17,462,2,2,5,2,4,3,2,0,3,2,3
M,50,0,547,2,0,0,0,0,4,0,0,3,0,0
M,50,14,840,0,0,0,4,0,2,0,0,2,2,4
M,45,5,910,0,0,5,0,0,2,0,5,0,0,4
M,45,8,198,0,0,5,2,0,5,3,1,4,2,0
M,45,16,949,0,0,2,2,0,2,5,5,5,5,0
M,25,13,990,0,0,4,0,3,0,2,0,0,0,3
F,1,4,282,0,0,3,1,0,0,0,0,0,2,4
F,25,4,82,1,1,2,3,0,0,5,4,2,3,5
M,45,13,300,0,0,0,1,0,0,0,0,5,0,0
M,56,3,436,3,3,0,5,3,4,4,4,3,0,1
F,45,6,551,0,0,1,2,5,5,3,2,5,2,3
M,18,14,794,5,0,5,1,0,0,2,5,4,0,0
F,45,9,65,4,3,4,5,1,4,3,4,4,4,0
F,18,14,50,4,3,4,5,3,5,3,5,5,4,4
F,1,8,914,0,0,2,3,0,4,4,2,3,0,0
M,35,3,437,0,0,5,2,0,0,5,2,4,0,0
M,50,4,376,0,0,5,2,2,3,0,1,4,2,0
F,25,20,782,0,1,1,4,0,4,0,3,3,3,0
M,18,10,284,0,0,4,5,0,0,5,5,0,0,0
F,25,12,170,0,0,5,1,0,0,5,0,5,3,0
M,56,8,484,4,3,0,5,5,2,4,0,2,1,3
F,18,4,502,1,0,4,1,0,3,5,1,0,0,0
M,25,14,62,1,0,0,0,0,3,2,0,0,0,3
F,18,17,157,3,0,2,1,3,0,2,0,5,0,4
M,45,16,480,1,0,4,5,0,4,0,1,4,0,0
F,18,20,262,0,0,0,5,0,0,4,4,1,4,0
F,45,8,60,3,2,4,0,5,0,5,0,0,0,3
M,50,10,905,5,3,0,4,2,1,3,2,1,2,1
F,1,18,534,0,0,0,5,5,2,0,1,4,0,3
F,35,9,61,2,4,2,3,4,3,2,2,1,4,3
M,35,19,891,0,0,0,0,0,0,3,0,3,0,0
F,1,6,891,0,0,4,4,0,5,4,5,4,2,4
M,25,18,838,4,3,4,0,4,0,0,0,2,0,0
F,56,13,208,4,0,4,0,5,2,3,0,0,2,3
M,25,16,360,0,0,0,2,0,4,4,4,5,4,0
F,45,13,908,3,3,0,2,2,2,5,3,4,5,1
M,1,5,460,0,0,4,2,0,4,1,1,5,4,0
F,45,7,581,2,4,1,3,2,5,5,1,2,4,1
M,45,10,801,1,2,0,1,3,5,0,5,5,0,3
M,25,14,322,1,1,3,0,0,4,2,0,0,0,0
F,35,12,782,0,0,5,0,5,0,0,0,4,0,0
M,56,2,431,0,0,4,1,0,4,3,2,0,0,0
M,35,11,42,0,0,1,1,3,3,4,2,4,2,0
F,25,1,474,1,4,2,0,5,2,0,4,2,0,3
M,35,7,74,3,0,5,0,0,0,1,3,0,0,0
M,56,15,339,0,0,3,1,0,0,2,0,2,0,0
M,35,7,805,0,0,4,5,0,0,5,3,2,0,0
M,45,19,287,0,0,4,2,0,4,1,0,0,1,4
F,18,20,105,2,4,3,5,5,2,4,4,2,4,3
M,56,19,705,0,0,4,0,0,0,5,1,4,0,0
F,25,16,433,3,3,4,2,1,3,0,1,5,4,1
M,18,6,228,2,2,2,0,3,4,0,2,1,0,3
F,25,14,406,1,0,5,5,2,3,1,2,5,1,1
F,1,2,326,0,0,5,2,0,0,0,0,1,2,0
M,50,15,89,1,2,1,0,3,5,0,1,5,0,5
M,18,2,56,0,0,0,0,0,4,4,0,0,0,0
F,18,20,630,0,0,4,0,1,3,3,0,4,0,5
F,18,0,655,2,2,4,2,4,1,3,4,0,2,3
M,25,9,61,4,0,2,4,0,4,0,0,2,0,0
M,50,19,104,2,2,0,4,2,0,4,3,4,5,4
F,56,7,571,3,4,4,5,5,2,0,0,5,4,0
F,35,2,336,0,0,4,0,5,0,5,1,0,0,3
M,25,6,118,0,2,5,1,1,2,3,5,1,5,0
M,1,4,173,5,0,1,1,0,0,2,2,0,0,0
F,25,14,919,1,1,3,5,2,3,0,4,1,4,3
M,35,18,18,5,3,4,0,1,0,5,2,4,5,3
M,25,17,910,0,1,2,1,0,4,2,5,3,0,0
F,45,11,494,3,4,3,4,4,4,2,1,3,0,4
M,56,7,969,3,3,4,4,0,2,1,4,3,0,4
M,18,8,460,3,3,4,0,1,0,2,0,2,0,0
M,18,14,933,0,0,0,5,0,3,4,3,4,1,4
M,45,2,306,0,0,3,0,0,0,4,0,0,0,0
F,45,5,497,2,0,5,5,5,2,0,5,5,1,3
M,45,19,984,4,2,5,0,3,5,1,5,5,0,3
M,35,2,76,0,0,0,0,5,0,2,0,5,0,0
M,50,9,104,0,0,3,5,0,5,1,1,5,0,0
F,18,1,530,3,4,4,2,5,2,3,4,3,0,5
M,25,14,952,0,0,0,5,0,0,2,0,2,2,3
M,35,19,28,4,3,4,2,3,5,3,3,1,2,3
M,25,3,131,1,4,4,2,3,4,1,5,5,4,4
M,18,6,76,5,3,4,2,3,4,2,2,1,4,0
M,25,4,15,1,3,2,5,2,1,4,2,2,4,3
M,50,16,279,4,2,4,0,4,5,1,4,3,0,3
M,35,14,630,0,0,0,2,0,5,5,4,4,2,0
M,56,18,473,1,1,2,5,1,3,3,4,0,4,0
M,35,14,132,0,0,5,0,0,5,2,3,0,0,0
F,25,11,74,0,0,0,4,0,3,4,4,5,0,0
M,35,16,20,3,1,4,1,4,1,4,4,3,0,3
M,18,7,924,0,0,5,0,0,0,0,0,4,0,0
F,35,5,799,2,2,3,5,1,0,0,2,4,3,3
M,18,2,222,3,2,4,2,5,0,5,0,5,5,3
M,45,12,977,3,3,4,0,1,0,3,0,2,0,5
F,1,18,320,2,1,1,1,4,1,0,0,4,2,0
M,56,9,681,2,1,2,0,1,3,2,4,3,0,0
M,45,11,481,1,2,1,1,3,5,3,3,3,0,4
M,18,2,130,0,0,3,0,0,0,5,0,0,0,3
M,35,17,440,1,2,3,5,4,1,0,0,2,0,3
M,25,12,290,1,2,0,1,1,2,5,3,5,0,0
M,25,1,48,2,3,4,0,1,0,4,0,4,0,0
M,45,6,10,0,0,0,0,0,4,1,0,0,0,1
M,35,14,120,2,2,3,3,1,0,5,2,2,0,0
M,35,9,447,4,4,5,0,3,0,4,0,4,0,3
M,25,16,442,1,2,4,1,0,2,2,5,3,0,0
F,35,20,452,4,0,0,2,0,0,5,4,1,2,0
F,18,18,282,2,0,5,2,5,5,3,2,5,4,3
M,45,2,223,5,2,4,4,3,5,1,3,2,2,4
F,56,17,596,1,3,4,5,3,4,0,0,5,4,4
M,1,20,813,0,0,4,5,0,0,4,0,4,1,0
M,35,8,833,0,0,1,0,0,4,5,2,3,0,0
M,35,12,495,0,0,1,3,0,4,5,2,4,0,0
M,18,10,23,0,0,1,0,0,3,2,2,0,0,0
M,45,16,735,1,0,4,1,0,2,3,1,5,0,4
M,25,0,627,0,2,4,1,2,0,4,4,3,0,0
F,18,10,557,0,0,5,0,0,4,1,0,0,0,0
F,18,12,666,3,4,2,5,5,1,1,2,2,4,3
M,18,5,378,0,0,4,0,0,4,4,0,4,0,0
M,35,15,786,2,0,3,2,0,2,1,1,5,4,4
F,35,7,198,5,0,2,1,0,4,0,1,1,2,4
M,25,2,381,0,0,0,0,0,0,5,0,4,0,0
M,45,11,484,1,2,0,0,4,5,0,3,1,0,3
M,56,7,490,1,1,5,1,0,4,5,2,1,0,0
M,18,10,550,0,0,4,0,0,0,3,0,3,0,0
M,25,0,148,5,3,2,3,1,0,0,3,3,0,0
F,45,17,991,3,4,4,0,3,5,5,0,4,0,4
M,35,13,990,3,3,1,1,2,2,4,3,2,0,2
F,25,11,954,1,4,3,0,3,4,0,0,1,0,0
F,25,17,840,3,1,5,5,4,1,2,2,1,4,3
M,18,2,794,4,2,1,0,2,3,2,4,5,2,0
F,35,1,18,0,0,5,5,0,0,0,5,1,4,0
F,18,16,118,0,0,0,2,1,1,3,4,5,4,1
F,1,16,331,2,0,5,4,0,3,3,1,5,2,0
M,25,10,666,3,3,4,3,1,0,0,4,4,5,0
M,18,17,319,0,0,1,5,0,3,1,2,4,2,2
M,18,11,640,4,2,4,0,3,5,2,4,3,0,3
F,25,10,554,4,1,5,0,2,2,4,3,1,0,0
F,25,4,856,1,0,1,5,0,4,1,1,1,4,2
M,56,17,850,1,0,0,5,0,4,2,1,4,0,4
F,18,17,142,4,0,4,5,0,0,4,0,0,0,0
F,50,0,765,0,0,1,1,0,3,5,2,4,0,1
M,25,14,378,1,1,4,0,1,0,4,5,2,0,2
M,25,14,453,0,0,0,0,0,5,0,0,0,0,2
M,50,6,114,0,0,3,0,1,3,5,0,0,0,3
M,35,0,871,5,3,3,0,1,0,5,2,2,0,0
M,35,14,655,0,0,4,2,2,3,5,1,5,4,1
M,35,15,285,0,0,0,0,0,0,1,0,4,0,0
M,56,7,10,5,1,4,3,3,2,4,5,2,0,0
M,18,1,100,3,0,0,0,0,4,0,0,0,0,0
M,35,10,489,4,0,4,2,0,4,5,2,5,0,0
M,25,20,446,0,0,0,0,0,5,5,0,0,0,0
M,35,3,272,0,2,1,3,1,0,0,3,5,5,1
M,45,16,977,0,0,3,1,0,2,3,1,2,0,0
M,50,12,988,0,0,4,0,0,4,3,0,3,0,0
