Gender,Age,Occupation,ZIP-code,247,1920,2017,2087
F,25,15,582,4,0,2,3
F,18,7,327,3,1,0,2
M,50,4,354,2,4,1,1
M,56,1,950,2,0,0,3
M,25,10,284,5,0,0,0
M,18,2,221,0,5,0,1
M,45,4,622,5,4,0,4
F,18,8,794,3,1,0,2
M,35,17,22,4,5,3,1
M,25,2,433,0,3,3,0
M,56,18,770,2,0,0,4
M,56,16,104,3,5,0,3
F,50,19,799,5,1,0,4
M,25,15,234,4,0,0,0
F,25,14,371,0,0,0,0
F,18,19,544,3,1,4,4
M,45,8,417,1,0,5,0
M,50,3,613,1,1,1,0
F,45,13,79,3,0,3,2
M,18,6,933,0,4,0,3
M,25,19,833,0,0,2,0
F,50,8,166,1,3,3,4
F,18,2,307,0,0,0,5
F,18,20,193,0,5,0,0
M,50,19,833,3,0,0,0
M,35,15,947,4,5,0,3
M,56,0,674,4,0,1,1
F,50,14,992,2,3,5,1
F,45,8,186,3,0,0,3
M,18,2,957,1,3,3,0
M,25,16,731,0,1,0,1
F,50,5,912,0,5,5,4
M,1,15,743,2,1,1,4
F,56,1,234,2,0,0,0
M,45,16,577,0,1,3,3
M,35,15,431,4,5,0,3
M,1,8,985,2,0,4,0
F,35,15,74,4,0,4,0
M,18,9,229,5,3,3,0
F,56,19,773,5,5,4,5
M,25,1,240,0,0,0,4
M,25,20,306,0,0,3,0
M,18,19,549,0,5,0,0
M,25,15,947,4,0,3,0
M,18,2,796,5,2,3,0
M,18,5,481,0,5,3,1
M,35,0,841,4,5,1,4
M,45,17,30,2,0,0,2
M,35,8,109,3,0,0,3
F,45,8,21,1,0,0,0
F,25,4,193,0,3,2,2
M,45,5,376,0,0,0,5
F,18,10,972,4,1,3,5
M,25,15,880,0,0,0,3
F,50,20,466,3,0,2,4
M,56,12,15,4,0,0,0
F,56,0,880,4,0,4,2
M,35,0,111,4,0,0,0
F,25,5,447,4,0,0,3
M,50,11,402,4,1,0,4
M,45,17,618,4,0,3,0
F,45,10,744,3,4,2,5
F,1,15,38,5,0,3,1
M,25,0,103,5,0,0,0
F,25,5,600,0,0,0,0
M,45,7,396,1,0,0,3
F,50,8,136,1,1,0,0
F,1,8,633,2,1,3,4
F,18,4,557,2,0,3,3
M,18,16,328,1,0,0,3
F,50,0,78,0,1,1,4
M,56,19,62,4,0,2,0
M,35,2,770,0,0,0,0
M,18,14,622,0,0,0,4
F,25,16,956,0,0,3,0
M,35,19,303,1,2,2,3
M,18,12,486,0,5,1,0
F,25,5,799,0,1,2,5
M,35,12,833,3,0,2,5
F,56,11,421,2,0,0,4
M,35,6,940,0,3,2,2
M,35,14,26,0,0,0,0
M,18,3,900,5,3,5,4
F,1,4,701,5,2,5,5
M,1,0,943,1,0,3,5
M,50,11,346,5,5,5,5
M,35,17,787,3,0,3,0
M,35,19,70,3,3,3,5
M,18,5,973,0,2,0,2
F,18,8,923,5,1,0,5
M,35,0,372,1,4,0,4
M,35,14,112,3,0,4,2
M,35,7,928,3,1,0,1
M,18,4,354,0,0,0,4
M,45,8,744,1,4,2,0
M,56,16,381,0,3,3,2
F,56,11,24,4,1,2,0
M,18,7,813,0,0,0,0
F,45,9,244,4,1,0,0
F,50,0,911,0,0,1,3
M,35,0,437,0,0,3,0
F,56,0,946,4,0,3,0
M,25,12,123,0,3,0,0
M,45,20,18,3,4,0,5
M,1,3,701,5,3,4,5
M,1,18,974,2,1,2,1
M,56,16,970,1,4,1,0
M,18,6,143,2,3,0,4
F,18,17,770,4,1,0,4
M,18,5,49,0,0,0,0
M,18,14,141,0,5,4,3
F,50,2,993,1,0,2,1
M,18,6,431,4,1,0,1
M,18,8,915,1,3,3,5
M,45,4,554,3,5,1,1
M,35,4,540,0,3,0,3
M,25,17,895,2,2,1,1
F,18,9,705,0,1,0,5
F,50,15,484,0,0,2,4
F,25,12,68,4,0,1,0
M,50,16,993,0,0,1,0
F,35,18,773,3,0,3,0
M,50,13,331,1,1,2,4
M,45,4,758,0,0,0,2
F,35,4,80,0,3,0,0
F,1,20,22,5,0,2,3
F,45,7,915,0,0,0,0
F,25,20,181,4,0,2,0
M,45,2,81,5,0,3,4
M,1,0,987,0,5,1,3
M,18,4,22,0,0,0,0
F,25,11,652,3,3,3,4
M,56,7,157,3,5,0,0
M,45,16,630,1,1,0,5
F,35,4,171,4,0,2,0
M,18,16,540,5,2,2,0
M,18,6,939,5,3,3,4
F,18,9,951,4,4,5,4
