Gender,Age,Occupation,ZIP-code,260,1097,1750,2021,2093,2105,2628,2968
F,25,15,582,2,4,0,1,4,4,2,1
F,18,7,327,4,3,3,0,4,4,3,0
M,50,4,354,3,4,0,5,0,1,5,1
M,56,1,950,3,4,1,1,4,4,5,0
M,25,10,284,3,0,1,5,4,0,4,4
M,18,2,221,3,1,0,3,0,5,3,2
M,45,4,622,4,5,3,5,5,3,3,0
F,18,8,794,1,4,0,4,5,1,4,4
M,35,17,22,2,0,0,3,5,0,0,0
M,25,2,433,0,4,4,0,0,0,5,2
M,56,18,770,5,0,5,4,5,1,4,1
M,56,16,104,5,1,2,3,0,1,4,4
F,50,19,799,3,3,4,5,5,2,5,2
M,25,15,234,3,2,0,0,0,0,3,0
F,25,14,371,4,0,5,0,3,1,4,0
F,18,19,544,2,3,2,2,4,1,5,0
M,45,8,417,1,5,0,0,3,5,2,0
M,50,3,613,5,2,1,5,2,5,3,0
F,45,13,79,4,3,0,3,4,5,4,0
M,18,6,933,3,2,0,1,4,5,5,1
M,25,19,833,3,5,0,0,0,4,1,0
F,50,8,166,4,3,0,1,1,4,4,1
F,18,2,307,4,0,0,1,0,2,3,1
F,18,20,193,5,1,3,0,4,0,3,1
M,50,19,833,2,3,0,0,3,4,1,4
M,35,15,947,4,1,0,0,5,0,4,1
M,56,0,674,4,5,5,1,2,2,3,4
F,50,14,992,4,2,0,1,0,4,4,1
F,45,8,186,0,4,0,0,0,3,4,4
M,18,2,957,2,1,3,0,1,0,0,2
M,25,16,731,0,2,0,0,4,2,3,0
F,50,5,912,1,4,3,3,4,0,1,0
M,1,15,743,1,3,4,5,0,0,5,0
F,56,1,234,3,0,2,0,4,3,3,4
M,45,16,577,1,4,0,0,4,3,4,1
M,35,15,431,2,5,5,0,0,5,1,2
M,1,8,985,1,0,0,0,1,5,5,3
F,35,15,74,1,0,0,0,0,4,1,1
M,18,9,229,5,3,0,3,3,1,4,5
F,56,19,773,5,5,2,1,4,2,2,3
M,25,1,240,3,4,0,0,5,1,0,4
M,25,20,306,1,4,0,2,4,5,4,4
M,18,19,549,3,3,0,5,0,0,3,4
M,25,15,947,3,5,5,0,3,1,0,2
M,18,2,796,1,5,1,2,1,3,4,0
M,18,5,481,2,4,3,3,2,0,2,0
M,35,0,841,0,4,1,1,1,1,0,3
M,45,17,30,3,3,0,5,3,5,3,4
M,35,8,109,0,4,2,0,4,0,0,3
F,45,8,21,2,3,0,0,4,5,2,1
F,25,4,193,0,1,0,4,1,4,3,0
M,45,5,376,5,4,0,1,4,2,4,0
F,18,10,972,5,3,2,4,4,3,5,2
M,25,15,880,4,4,3,5,4,1,1,3
F,50,20,466,2,0,0,0,4,5,3,5
M,56,12,15,4,5,0,4,0,1,1,0
F,56,0,880,1,3,1,4,4,1,3,0
M,35,0,111,1,4,1,4,4,0,2,0
F,25,5,447,4,5,3,1,0,0,5,0
M,50,11,402,0,3,2,2,4,2,3,5
M,45,17,618,1,2,0,0,4,4,4,4
F,45,10,744,2,1,5,0,3,0,1,5
F,1,15,38,5,5,0,3,3,0,5,0
M,25,0,103,5,4,1,0,3,1,5,0
F,25,5,600,1,4,3,0,5,0,1,4
M,45,7,396,5,4,4,0,5,3,2,0
F,50,8,136,5,4,2,2,5,3,3,5
F,1,8,633,3,3,0,4,2,1,2,5
F,18,4,557,1,5,5,0,4,2,1,2
M,18,16,328,1,5,2,1,4,2,2,0
F,50,0,78,3,3,0,4,4,5,1,4
M,56,19,62,4,0,0,4,3,1,2,5
M,35,2,770,5,3,4,0,0,4,2,3
M,18,14,622,4,4,0,0,4,0,5,0
F,25,16,956,1,5,5,3,3,0,0,2
M,35,19,303,4,5,5,0,0,5,2,2
M,18,12,486,3,5,0,0,2,2,1,1
F,25,5,799,4,1,3,4,5,2,3,5
M,35,12,833,3,5,5,3,3,4,4,4
F,56,11,421,4,4,4,0,0,0,5,2
M,35,6,940,0,1,3,1,3,3,4,1
M,35,14,26,3,3,5,0,3,4,1,2
M,18,3,900,5,3,0,2,0,5,0,4
F,1,4,701,2,5,3,5,0,2,1,0
M,1,0,943,3,0,4,2,0,0,2,4
M,50,11,346,1,5,0,4,2,5,4,0
M,35,17,787,2,5,4,3,4,1,4,2
M,35,19,70,5,4,5,1,2,2,5,1
M,18,5,973,3,1,5,5,4,5,3,0
F,18,8,923,5,5,0,5,2,3,1,0
M,35,0,372,4,0,4,5,4,1,0,2
M,35,14,112,4,2,3,4,0,3,5,2
M,35,7,928,2,2,1,3,4,0,0,0
M,18,4,354,3,4,0,5,0,3,1,0
M,45,8,744,4,2,0,0,0,4,2,5
M,56,16,381,3,1,0,4,4,3,5,2
F,56,11,24,4,2,2,2,0,0,2,3
M,18,7,813,0,2,0,0,4,0,4,3
F,45,9,244,3,4,0,2,4,4,5,0
F,50,0,911,4,4,0,0,4,1,1,0
M,35,0,437,3,3,0,5,4,4,0,4
F,56,0,946,5,3,0,0,4,5,1,0
M,25,12,123,5,1,0,0,1,5,5,3
M,45,20,18,5,5,0,1,1,5,0,1
M,1,3,701,0,1,0,0,4,2,1,2
M,1,18,974,5,2,5,5,5,4,1,1
M,56,16,970,3,5,5,3,2,0,0,5
M,18,6,143,5,5,4,3,1,1,5,3
F,18,17,770,5,3,5,5,0,3,0,1
M,18,5,49,5,0,0,0,0,1,1,0
M,18,14,141,4,2,0,0,4,1,5,3
F,50,2,993,5,0,4,3,0,1,1,0
M,18,6,431,3,2,2,3,2,0,0,2
M,18,8,915,5,1,0,4,1,4,5,3
M,45,4,554,2,4,1,3,5,5,5,2
M,35,4,540,0,4,0,0,1,3,5,5
M,25,17,895,5,4,0,3,5,3,5,2
F,18,9,705,4,3,2,4,2,0,0,2
F,50,15,484,4,5,3,4,3,0,3,0
F,25,12,68,1,5,0,4,0,0,1,2
M,50,16,993,5,4,0,0,4,1,2,0
F,35,18,773,2,0,0,0,4,5,0,0
M,50,13,331,1,3,1,2,0,3,4,3
M,45,4,758,3,0,0,1,3,3,2,2
F,35,4,80,2,4,0,0,1,1,3,0
F,1,20,22,5,5,0,5,3,5,1,3
F,45,7,915,5,5,0,0,2,2,1,1
F,25,20,181,3,5,2,4,3,2,1,4
M,45,2,81,1,4,0,2,0,1,0,4
M,1,0,987,3,1,5,3,1,1,5,0
M,18,4,22,0,4,0,4,5,2,3,2
F,25,11,652,3,5,4,2,1,0,1,2
M,56,7,157,2,1,1,5,1,4,2,0
M,45,16,630,1,3,1,2,4,0,4,0
F,35,4,171,3,0,4,0,0,2,4,0
M,18,16,540,3,5,4,5,2,0,3,0
M,18,6,939,2,5,5,2,1,2,0,0
F,18,9,951,2,5,0,5,3,4,4,3
F,18,9,362,3,3,5,2,0,3,2,1
M,18,7,461,3,4,0,0,3,5,5,0
M,25,19,319,2,4,0,0,4,3,0,0
M,25,1,900,1,3,0,5,4,5,1,3
M,35,14,805,3,4,0,0,2,4,3,0
M,1,9,990,3,5,3,1,0,2,1,4
F,25,17,313,3,3,0,0,3,0,5,4
M,35,18,405,3,5,1,3,4,4,3,2
F,45,14,358,2,4,4,0,4,1,4,0
F,35,4,790,0,5,1,4,0,1,2,3
F,56,6,69,3,4,0,5,1,5,3,3
F,35,16,282,0,4,5,1,0,5,0,2
M,50,8,460,4,3,3,2,4,5,0,3
M,35,8,74,3,1,1,4,1,4,1,1
F,35,20,253,1,0,3,1,0,1,0,5
M,35,2,358,1,3,5,0,0,3,2,2
M,50,11,993,1,4,3,2,4,2,1,1
M,18,3,793,0,3,0,2,1,1,2,3
M,18,2,100,2,3,0,1,0,0,5,0
F,56,2,450,5,3,4,0,4,4,4,2
M,45,13,327,4,3,0,0,4,1,2,5
M,18,4,302,3,1,0,2,1,1,0,1
F,45,5,483,0,3,4,0,0,2,1,0
M,35,20,458,1,2,2,0,5,0,0,5
M,56,9,325,3,1,3,2,2,2,5,2
F,18,16,942,5,5,0,1,0,4,3,2
M,1,14,803,1,4,0,4,3,1,4,4
M,35,20,992,4,4,2,1,4,3,3,0
